,n,spearman,r2_repeat,mae_repeat
QB,625.0,0.659,0.333,4.15
RB,1380.0,0.697,0.419,3.35
WR,2089.0,0.754,0.544,2.9
TE,1153.0,0.719,0.515,2.13
