feature,label,n,spearman,p,position
prior_rushing_yards_pg,Prior rush yds/g,2089,0.136,5.008938324623951e-10,WR
weight,Weight,2089,0.129,3.0632173505083803e-09,WR
prior_attempts_pg,Prior pass att/g,2089,0.115,1.2653399352184095e-07,WR
prior_passing_yards_pg,Prior pass yds/g,2089,0.075,0.0006470630606442579,WR
years_exp,Years exp,2085,0.06,0.0062888654319735,WR
forty,40 time,1379,0.022,0.410549470720193,WR
age,Age,2089,-0.019,0.38652328060133434,WR
prior_rushing_epa,Prior rush EPA,1034,0.018,0.5577023871479416,WR
prior_rush_td_rate,Prior rush TD/yd,1005,0.018,0.5767829857929001,WR
prior_passing_epa,Prior pass EPA,201,0.0,0.9953112341469461,WR
prior_ppg,Prior PPG,1153,0.719,5.611393149641734e-184,TE
prior_wopr,Prior WOPR,1153,0.718,5.490574121807163e-183,TE
prior_targets_pg,Prior targets/g,1153,0.715,5.300380977566555e-181,TE
prior_target_share,Prior target share,1153,0.714,3.6588380400896783e-180,TE
prior_air_yards_share,Prior air-yards share,1153,0.709,1.4255342347242733e-176,TE
prior_receiving_yards_pg,Prior rec yds/g,1153,0.709,6.828697480249574e-177,TE
prior_receptions_pg,Prior rec/g,1153,0.705,9.87250516832864e-174,TE
prior_ppr_std,Prior weekly std,1153,0.638,6.47554976809462e-133,TE
prior2_ppg,PPG 2yrs ago,848,0.626,1.4525977584111015e-93,TE
prior_total_tds,Prior total TDs,1153,0.604,1.7962648856623578e-115,TE
prior_off_pct,Prior snap %,872,0.576,3.174883661476119e-78,TE
prior_cv,Prior coeff. of variation,1139,-0.544,6.823998572706396e-89,TE
prior_games,Prior games played,1153,0.534,4.3466542257768226e-86,TE
draft_pick,Draft pick,1153,-0.453,1.7952100847798646e-59,TE
draft_round,Draft round,1153,-0.447,1.1906527123963981e-57,TE
prior_receiving_epa,Prior rec EPA,1144,0.433,2.235262988359172e-53,TE
forty,40 time,743,-0.282,4.348877667247138e-15,TE
team_change,Changed team,1153,-0.196,1.7293490944521266e-11,TE
prior_carries_pg,Prior carries/g,1153,0.164,2.3441923976461783e-08,TE
prior_rec_td_rate,Prior rec TD/yd,1137,0.16,5.585916581302616e-08,TE
prior_rushing_yards_pg,Prior rush yds/g,1153,0.122,3.2295163071425695e-05,TE
years_exp,Years exp,1149,0.117,6.803834666943808e-05,TE
prior_passing_yards_pg,Prior pass yds/g,1153,0.083,0.005036626674372307,TE
prior_attempts_pg,Prior pass att/g,1153,0.079,0.0075549799991649486,TE
prior_rushing_epa,Prior rush EPA,152,0.071,0.3825682814947228,TE
age,Age,1153,0.069,0.01855363183339342,TE
prior_rush_td_rate,Prior rush TD/yd,134,0.057,0.5158731710752542,TE
weight,Weight,1153,-0.044,0.1354820344315051,TE
