position,team,player,proj
DST,TB,Buccaneers,9.6
DST,SF,49ers,9.1
DST,PHI,Eagles,8.2
DST,GB,Packers,7.9
DST,SEA,Seahawks,7.5
DST,KC,Chiefs,7.3
DST,CHI,Bears,7.2
DST,LAC,Chargers,7.0
DST,BAL,Ravens,6.9
DST,NE,Patriots,6.9
DST,LA,Rams,6.6
DST,DEN,Broncos,6.0
DST,CAR,Panthers,6.0
DST,ARI,Cardinals,5.4
DST,PIT,Steelers,5.4
DST,TEN,Titans,5.3
DST,JAX,Jaguars,5.0
DST,DAL,Cowboys,4.9
DST,HOU,Texans,4.7
DST,LV,Raiders,4.5
DST,BUF,Bills,4.4
DST,CIN,Bengals,4.2
DST,CLE,Browns,4.2
DST,NYJ,Jets,3.9
DST,NO,Saints,3.8
DST,ATL,Falcons,3.8
DST,IND,Colts,3.3
DST,MIN,Vikings,3.0
DST,NYG,Giants,2.6
DST,MIA,Dolphins,2.2
DST,WAS,Commanders,2.0
DST,DET,Lions,1.8
K,SF,Eddy Pineiro,9.8
K,DAL,Brandon Aubrey,9.7
K,CIN,Evan McPherson,9.5
K,LAC,Cameron Dicker,9.4
K,NE,Andres Borregales,9.4
K,HOU,Ka'imi Fairbairn,9.4
K,CHI,Cairo Santos,9.3
K,KC,Harrison Butker,9.3
K,PHI,Jake Elliott,9.2
K,JAX,Cam Little,9.2
K,BAL,Tyler Loop,9.2
K,CAR,Ryan Fitzgerald,9.1
K,TB,Chase McLaughlin,9.1
K,ARI,Chad Ryland,9.0
K,GB,Trey Smack,8.8
K,ATL,Nick Folk,8.8
K,BUF,Tyler Bass,8.8
K,DET,Jake Bates,8.7
K,LV,Matt Gay,8.7
K,SEA,Jason Myers,8.7
K,LA,Harrison Mevis,8.6
K,NYG,Dominic Zvada,8.6
K,DEN,Wil Lutz,8.5
K,NYJ,Grupe / Sanders,8.3
K,TEN,Joey Slye,8.3
K,WAS,Drew Stevens,8.3
K,CLE,Andre Szmyt,8.2
K,PIT,Chris Boswell,8.1
K,IND,Spencer Shrader,8.1
K,MIN,Will Reichard,8.0
K,NO,Daniel Carlson,7.1
K,MIA,Riley Patterson,6.7
