position,team,player,proj
DST,KC,Chiefs,9.9
DST,NYG,Giants,9.0
DST,SEA,Seahawks,8.9
DST,CIN,Bengals,8.3
DST,SF,49ers,7.8
DST,PHI,Eagles,7.7
DST,LA,Rams,7.7
DST,GB,Packers,7.6
DST,TB,Buccaneers,7.5
DST,CAR,Panthers,7.5
DST,BUF,Bills,7.3
DST,MIN,Vikings,7.3
DST,TEN,Titans,7.2
DST,NO,Saints,7.0
DST,JAX,Jaguars,6.9
DST,PIT,Steelers,6.6
DST,DET,Lions,6.3
DST,CHI,Bears,6.1
DST,HOU,Texans,5.9
DST,IND,Colts,5.8
DST,LV,Raiders,5.8
DST,WAS,Commanders,5.8
DST,ATL,Falcons,5.4
DST,CLE,Browns,5.2
DST,NE,Patriots,4.7
DST,DEN,Broncos,4.5
DST,NYJ,Jets,4.4
DST,BAL,Ravens,3.6
DST,DAL,Cowboys,3.1
DST,LAC,Chargers,3.1
DST,ARI,Cardinals,3.0
DST,MIA,Dolphins,2.4
K,BAL,Tyler Loop,10.0
K,SF,Eddy Pineiro,9.9
K,GB,Trey Smack,9.5
K,CIN,Evan McPherson,9.3
K,TB,Chase McLaughlin,9.2
K,DET,Jake Bates,9.1
K,IND,Spencer Shrader,9.1
K,HOU,Ka'imi Fairbairn,9.0
K,BUF,Tyler Bass,8.9
K,JAX,Cam Little,8.8
K,KC,Harrison Butker,8.6
K,DAL,Brandon Aubrey,8.6
K,CAR,Ryan Fitzgerald,8.4
K,NYJ,Jason Sanders,8.3
K,NO,Daniel Carlson,8.3
K,SEA,Jason Myers,8.2
K,MIN,Will Reichard,8.0
K,LA,Harrison Mevis,8.0
K,ATL,Nick Folk,8.0
K,NE,Andres Borregales,8.0
K,PHI,Jake Elliott,7.8
K,WAS,Drew Stevens,7.6
K,NYG,Dominic Zvada,7.6
K,CHI,Cairo Santos,7.3
K,LV,Matt Gay,7.3
K,LAC,Cameron Dicker,7.1
K,CLE,Andre Szmyt,6.6
K,ARI,Chad Ryland,6.6
K,PIT,Chris Boswell,6.5
K,DEN,Wil Lutz,6.4
K,TEN,Joey Slye,6.3
K,MIA,Riley Patterson,6.2
