Rank,Player,"AVG PICK","7 DAY +/-","AVG SALARY","7 DAY +/-","%ROST"
86,"Travis Kelce
KCTE",93.8,0.1,3,-0.1,91.2
87,"Rico Dowdle
PITRB",97.1,-0.5,4.1,0.1,89.1
88,"Rams D/ST
LARD/ST",97.7,-0.2,4.6,0,97.7
89,"Broncos D/ST
DEND/ST",98,0.5,3,0,98.7
90,"Kenny Gainwell
TBRB",100,-0.4,3,0,86.3
91,"Josh JacobsDTD
GBRB",100.9,-0.5,4.5,0,91.3
92,"Dallas Goedert
PHITE",101.2,0,2.2,0,90.4
93,"Trevor Lawrence
JAXQB",103.6,0.2,6.1,0.2,88.6
94,"MarShawn Lloyd
GBRB",103.6,-1.5,5.3,-0.1,81
95,"Bo Nix
DENQB",104.1,0.1,6.1,0.1,88.8
96,"Stefon Diggs
WSHWR",104.2,-0.6,2.7,0,83.8
97,"Alec Pierce
INDWR",104.8,0.4,3.4,0.1,86.4
98,"Jonathon BrooksQ
CARRB",105,-0.7,3.8,0,84.6
99,"Michael Wilson
ARIWR",105.2,-0.5,3.1,0,86.4
100,"Brock Purdy
SFQB",108.9,0.3,4.7,0.2,
101,"Cameron DickerQ
LACK",109,0.9,2.1,0,98.7
102,"Patrick MahomesQ
KCQB",109.3,-0.1,5.5,0.1,86.6
103,"J.K. Dobbins
DENRB",111.4,-0.2,3.2,0.1,84.5
104,"Wan'Dale RobinsonQ
TENWR",111.7,-0.8,2.2,0,82.4
105,"Chuba HubbardQ
CARRB",111.8,-0.3,2.5,0.1,84.9
106,"Jason Myers
SEAK",112.3,0.8,1.8,0,98.4
107,"Seahawks D/ST
SEAD/ST",112.8,0.5,2.5,0,98.1
108,"Brian Thomas Jr.
JAXWR",113.3,-0.2,2.8,0,84.5
109,"Jake Ferguson
DALTE",114.8,-0.4,1.8,0,86
110,"Matthew Golden
GBWR",115.3,-0.6,2.2,0,85
111,"Aaron Jones Sr.
MINRB",117.2,-0.6,1.9,0,81.9
112,"Travis Hunter
JAXWR, CB",118.9,-0.5,1.7,0,74.4
113,"Jakobi MeyersQ
JAXWR",121.4,-0.3,1.6,0,80.4
114,"Steelers D/ST
PITD/ST",121.5,0.8,1.5,0,96.6
115,"Isaiah Likely
NYGTE",122.5,-0.3,2,0,81.5
116,"Ka'imi Fairbairn
HOUK",122.5,0.6,1.7,0,95.6
117,"Jordan Addison
MINWR",124.8,-0.9,2,0,80.5
118,"Chris Godwin Jr.
TBWR",125.2,-1,2.2,0,76.8
119,"Kyle MonangaiQ
CHIRB",125.2,-0.3,2,0,78.8
120,"Mark Andrews
BALTE",126.4,-0.1,1.5,0,81.7
121,"Blake Corum
LARRB",127.3,-0.4,2.8,0,77.7
122,"RJ Harvey
DENRB",128.8,-0.7,1.8,0,76.4
123,"Harrison Mevis
LARK",129.1,0.7,1.4,0,93.3
124,"Rachaad WhiteQ
WSHRB",129.3,-0.5,1.4,0,74.7
125,"Dalton Kincaid
BUFTE",132,-0.4,1.5,0,75.6
126,"Xavier Worthy
KCWR",133.2,-0.6,1.5,0,76.3
127,"Ravens D/ST
BALD/ST",133.8,0.4,1.4,0,90.8
128,"Quentin Johnston
LACWR",135.2,-0.5,1.9,0,75
129,"Makai Lemon
PHIWR",135.8,-0.9,1.5,0,74.1
130,"Kyler Murray
MINQB",137,-0.4,3.1,0.1,68
131,"Eagles D/ST
PHID/ST",137.5,0.3,1.4,0,88.8
132,"Jacory Croskey-MerrittQ
WSHRB",137.6,-0.5,1.9,0,71.7
133,"Jared Goff
DETQB",137.6,-0.1,2.9,0.1,69.8
134,"De'Zhaun StriblingQ
SFWR",137.9,-0.3,2.3,0,65.2
135,"Josh DownsQ
INDWR",138.1,-0.7,1.3,0,70.8
