"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jaylen Warren","RB","PIT",9,193,8.65,5.98,185,203,114,129,98.1,45,46,52,26,"9",27,91.9,9.63,1,4
"Tetairoa McMillan","WR","CAR",5,229,19.7,2.77,208,258,114,131,111,44,44,43,17,"6",23,47.9,20.5,20,1
"Emeka Egbuka","WR","TB",10,226,23.2,3.55,194,256,111,116,109,46,52,46,18,"6",23,59.1,18.3,40,1
"RJ Harvey","RB","DEN",10,187,21.6,1.72,165,213,108,109,109,49,54,45,27,"9",25,83.2,4.98,70,1
"Tee Higgins","WR","CIN",6,223,19.7,1.25,204,244,108,126,96.9,48,48,53,19,"6",27,44.8,17.4,16,6
"Brock Bowers","TE","LVR",13,243,15.6,44.1,219,257,108,103,95.9,47,60,55,2,"2",23,23.5,32.7,2,2
"Jameson Williams","WR","DET",6,222,13.2,1.56,208,242,107,131,94.2,50,45,57,20,"6",25,57.3,11.4,10,4
"Tony Pollard","RB","TEN",9,185,12.6,0.147,164,192,106,108,87.3,51,55,63,28,"9",29,92.3,10.5,9,7
"Rico Dowdle","RB","PIT",9,185,18.5,1.38,161,207,106,105,102,52,58,49,29,"9",28,84.3,8.18,33,6
"Davante Adams","WR","LAR",11,220,9.1,3.93,213,235,105,136,87.2,53,40,64,21,"6",33,56.4,18.2,3,12
"Rhamondre Stevenson","RB","NE",11,183,14.6,4.43,162,199,104,106,93.9,54,57,58,30,"10",28,101,7.78,14,5
"Ladd McConkey","WR","LAC",7,216,17.6,0.725,199,243,101,121,95.9,55,49,54,22,"6",24,50.4,16.2,13,2
"Terry McLaurin","WR","WAS",7,215,17.9,2.51,195,232,100,118,84.3,56,51,68,23,"6",30,53.7,15.8,17,7
"Chuba Hubbard","RB","CAR",5,179,26.3,4.27,137,203,99.9,81.1,98.8,57,78,51,31,"10",27,83.2,9.44,78,5
"D.J. Moore","WR","BUF",7,213,31.8,3.36,180,262,97.9,103,115,58,61,41,24,"6",29,64.9,14.8,57,8
"Jadarian Price","RB","SEA",11,175,41.9,7.03,106,208,95.6,49.6,104,59,113,48,32,"10",22,77,26.4,86,0
"Courtland Sutton","WR","DEN",10,209,19.3,0.3,190,236,94.6,112,88.5,60,53,62,25,"6",30,82,8.48,30,8
"Alec Pierce","WR","IND",13,209,13.1,0.38,198,224,94.3,120,76.8,61,50,70,26,"6",26,73.6,8.27,18,4
"Rome Odunze","WR","CHI",10,209,23.2,0.583,177,239,93.9,99.9,91.3,62,62,60,27,"6",24,80.5,10.1,29,2
"Luther Burden","WR","CHI",10,208,38.7,0.351,159,263,93.3,81.9,116,63,76,40,28,"6",22,74,13.5,59,1
"Jaylen Waddle","WR","DEN",10,208,14.9,10.9,185,224,93,107,76.7,64,56,71,29,"7",27,66.1,16.1,12,5
"J.K. Dobbins","RB","DEN",10,168,7.37,8.16,156,173,88.6,99.4,68.6,65,63,77,33,"11",27,109,9.12,7,6
"DK Metcalf","WR","PIT",9,197,16.6,0.345,176,220,82.1,98.2,72.8,66,64,73,30,"7",28,82.8,9.78,26,7
"Lamar Jackson","QB","BAL",13,397,23.5,1.23,372,428,81.7,84.3,64.7,68,73,84,2,"1",29,32.1,23.7,6,8
"Mike Evans","WR","SF",8,197,18.7,0.859,173,219,81.7,95.6,71.9,67,66,74,31,"7",32,65.9,13.9,31,12
"Marvin Harrison Jr.","WR","ARI",14,196,19.9,1.54,167,219,80.9,89.6,71.9,69,69,75,32,"7",23,79.7,8.52,35,2
"Joe Burrow","QB","CIN",6,396,26.2,4.4,374,431,80.5,86.7,67.5,70,72,78,3,"1",29,44.4,17.7,19,6
"Kyle Monangai","RB","CHI",10,159,14.7,1.14,138,171,80.4,81.7,66.2,71,77,82,34,"11",24,103,7.88,17,1
"Aaron Jones","RB","MIN",6,158,25.2,0.429,121,186,79.3,65.1,81.8,74,93,69,35,"11",31,112,7.31,74,9
"Christian Watson","WR","GB",11,194,11.5,0.0288,183,207,79.3,105,59.7,72,59,88,33,"7",27,80.7,10.2,14,4
"Wan'Dale Robinson","WR","TEN",9,194,41.1,0.998,149,253,79.3,71.7,106,73,84,47,34,"7",25,113,6.74,72,4
"Kenneth Gainwell","RB","TB",10,158,31,2.61,117,190,78.8,61.3,85.6,75,97,66,36,"11",27,107,6.75,81,5
"Jakobi Meyers","WR","JAC",7,193,25.8,0.773,175,234,78.3,97.4,86.4,76,65,65,35,"7",29,113,6.81,46,7
"Chris Godwin","WR","TB",10,192,27.7,0.0139,162,233,77.5,84.2,85.1,77,74,67,36,"7",30,103,8.95,51,9
"Michael Wilson","WR","ARI",14,192,31.2,2.79,167,241,77.5,89,93.5,78,70,59,37,"7",26,86.2,7.17,58,3
"Rachaad White","RB","WAS",7,155,22.5,11.8,121,174,76.2,65.2,69.6,79,92,76,37,"12",27,122,6.24,65,4
"Drake Maye","QB","NE",11,391,16.2,5.37,380,418,76.1,92.6,53.9,80,67,91,4,"1",23,60.8,19.7,3,2
"Brian Thomas Jr.","WR","JAC",7,190,23.1,3.03,168,223,74.7,90.3,76,81,68,72,38,"7",23,79,9.44,47,2
"Carnell Tate","WR","TEN",9,187,26,2.61,156,214,71.7,77.9,66.5,82,80,81,39,"8",21,85.5,22.3,61,0
"Jayden Daniels","QB","WAS",7,386,22.3,1.96,362,412,70.7,74.1,47.8,83,83,100,5,"1",25,46.6,15.7,31,2
"Parker Washington","WR","JAC",7,184,16.7,2.54,160,200,69.1,82.3,52.9,84,75,93,40,"8",24,97.3,7.61,32,3
"Jalen Hurts","QB","PHI",10,384,18.6,3.15,366,409,68.7,78.4,44.8,85,79,105,6,"1",27,52.7,13.9,28,6
"Michael Pittman","WR","PIT",9,181,21.8,2.66,146,198,66.5,68.2,50.2,86,89,97,41,"8",28,120,6.85,42,6
"Dak Prescott","QB","DAL",14,381,20.8,5.1,359,402,65.6,71.2,38,87,85,114,7,"1",32,85.8,14,41,10
"Jacory Croskey-Merritt","RB","WAS",7,143,6.4,5.14,134,149,64.4,77.7,44.2,89,81,108,38,"12",25,121,5.03,6,1
"Colston Loveland","TE","CHI",10,199,19.2,3.69,181,227,64.4,65.5,66.8,88,91,80,3,"2",22,57.5,20.2,24,1
"Josh Downs","WR","IND",13,179,11.7,5.45,166,192,63.9,88.6,44.4,90,71,107,42,"8",24,124,4.38,19,3
"Harold Fannin","TE","CLE",11,195,23,0.435,166,223,60.7,50,62.5,91,112,86,4,"2",21,68.2,9.65,41,1
"Caleb Williams","QB","CHI",10,376,31.2,0.0612,340,415,60.5,52.6,51.1,92,109,96,8,"1",24,82.3,13.2,59,2
"Matthew Stafford","QB","LAR",11,376,23.4,0.268,357,413,60.4,69.9,49,93,87,98,9,"1",38,104,9.16,66,17
"Tyler Warren","TE","IND",13,195,15.7,4.44,175,213,60.3,59.1,52.6,94,100,94,5,"2",24,60.4,16,4,1
"Jaxson Dart","QB","NYG",8,376,28.5,0.0011,342,405,60.1,54.4,41.5,95,106,109,10,"1",23,71.2,10.2,75,1
"Trevor Lawrence","QB","JAC",7,376,27.6,3.68,346,403,60.1,58.2,39.4,96,101,111,11,"2",26,98.1,8.64,50,5
