"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Coby Fleener","TE","NO",5,153,9.09,4.53,142,166,27.6,29.7,21.6,58,62,66,6,"4",37,78.1,4.91,34,4
"Jonathan Stewart","RB","CAR",7,164,11.1,1.62,147,176,27.1,33.6,21.3,59,53,67,22,"8",39,49.1,13.8,25,8
"Drew Brees","QB","NO",5,303,13.1,9.51,285,319,25.9,18.7,23.7,61,80,61,5,"4",47,46.8,12.3,3,15
"Julian Edelman","WR","NE",9,184,14.8,4.23,157,197,25.9,22.3,18,60,72,70,25,"6",40,47.5,16.2,34,7
"Melvin Gordon","RB","SD",11,162,8.83,1.95,153,181,25.5,39.6,26.1,62,43,55,23,"8",33,72.1,6.76,24,1
"Giovani Bernard","RB","CIN",9,160,4.73,1.01,151,166,23.5,37.4,11,63,48,89,24,"8",34,80.9,5.61,1,3
"Gary Barnidge","TE","CLE",13,149,6.83,7.37,141,161,23,28,16.7,64,65,76,7,"5",40,83.6,4.19,9,8
"Rashad Jennings","RB","NYG",8,159,6.36,0.491,148,167,22.5,34.6,11.6,65,51,87,25,"8",41,91.1,3.51,8,7
"NaVorro Bowman","LB","SF",8,123,9.47,3.58,113,132,22.3,18.7,24.7,66,79,59,1,"1",38,96.6,5.8,16,6
"Duke Johnson","RB","CLE",13,158,9.17,0.258,143,173,22,29.8,17.9,67,61,71,26,"8",32,88.7,5.25,14,1
"Ryan Mathews","RB","PHI",4,158,13.5,0.777,142,183,21.8,28.7,27.8,68,64,53,27,"8",38,61.3,9.51,46,6
"Larry Fitzgerald","WR","ARI",9,180,14.2,3.4,159,203,21.7,24.4,24.3,69,70,60,26,"6",42,68.7,7.53,28,12
"Ameer Abdullah","RB","DET",10,157,11.9,1.96,145,178,21,31.8,23.5,70,56,63,28,"8",33,93.7,4.16,34,1
"Frank Gore","RB","IND",10,155,14.2,0.875,134,178,19,20.6,23,71,75,65,29,"8",43,82.2,4.65,42,11
"Luke Kuechly","LB","CAR",7,119,7.01,0.878,111,124,18.7,16.4,16.8,72,83,75,2,"1",35,67.2,13.8,5,4
"Kelvin Benjamin","WR","CAR",7,176,13.2,1.29,164,205,18.3,29.3,25.6,73,63,56,27,"6",35,51.3,12.6,41,2
"Matt Jones","RB","WAS",9,155,13.9,5.24,140,180,18.2,26.8,25.3,74,67,57,30,"9",33,74.6,5.96,48,1
"Lavonte David","LB","TB",6,118,3.25,3.75,116,122,17.9,21.4,14.5,75,73,80,3,"1",36,84.2,10.3,1,4
"Michael Floyd","WR","ARI",9,175,9.43,6.3,161,188,17,26.5,8.47,76,68,97,28,"7",36,64.6,7.25,6,4
"Blake Bortles","QB","JAC",5,294,16.2,0.514,270,321,16.4,4.31,25.1,77,102,58,6,"4",34,83.8,6.35,69,2
"Ben Roethlisberger","QB","PIT",8,293,8.37,5.28,279,302,15.9,12.6,6.68,78,87,102,7,"5",44,52.3,10.8,19,12
"Zach Ertz","TE","PHI",4,142,8.83,2.02,130,158,15.7,17.7,13.3,79,81,85,8,"5",35,104,3.26,23,3
"Derrick Johnson","LB","KC",5,115,3.06,4.85,112,117,14.1,17,10.1,80,82,92,4,"2",43,172,4.35,9,11
"Antonio Gates","TE","SD",11,139,6.09,5.75,133,148,13.6,20.3,3.56,81,76,112,9,"5",46,96.3,2.55,17,13
"Arian Foster","RB","MIA",8,149,4.53,5.96,144,157,12.9,30.8,2.51,82,58,119,31,"9",39,77.1,6.22,15,7
"Justin Tucker","K","BAL",8,153,4.11,0.522,146,159,12.4,14.6,14.7,83,85,79,1,"1",36,127,1.35,19,4
"Stephen Gostkowski","K","NE",9,152,4.87,2.38,144,158,11.9,12.5,14.2,84,88,83,2,"1",42,97,3.83,1,10
"Deone Bucannon","DB","ARI",9,99.9,NA,0.237,NA,NA,11.7,NA,NA,85,NA,NA,2,"1",33,NA,5,NA,2
"Tyrann Mathieu","DB","ARI",9,99.7,14.7,3.95,86.1,115,11.5,7.92,16.9,86,93,74,3,"1",34,116,5.55,93,3
"Michael Crabtree","WR","OAK",10,169,11.4,0.557,156,187,10.7,21,8.14,87,74,98,29,"7",38,92.6,4.24,14,7
"Philip Rivers","QB","SD",11,288,10.9,3.57,269,300,10.6,3.21,4.28,88,109,110,8,"5",44,87.6,4.62,31,12
"Jordan Matthews","WR","PHI",4,168,13.9,1.8,145,190,10.1,9.98,10.5,89,91,91,30,"7",33,81.6,6.77,31,2
"Chris Boswell","K","PIT",8,150,5.04,4.71,142,158,9.51,10.3,13.9,90,90,84,3,"2",35,131,1.17,39,2
"DeAndre Levy","LB","DET",10,110,11.8,1.23,95.9,118,9.25,1.28,10.8,91,124,90,5,"2",39,159,4.4,40,7
"Aaron Donald","DL","LA",NA,71.2,15.1,2.59,60.8,88.9,8.38,1.96,23,92,119,64,3,"3",35,121,6.55,67,2
"Emmanuel Sanders","WR","DEN",11,166,21.8,1.73,138,195,8.33,2.99,15.7,93,111,78,31,"7",39,77.1,7.12,69,6
"Alec Ogletree","LB","LA",NA,109,9.55,0.281,98.4,117,8.02,3.77,9.8,94,105,93,6,"2",34,105,6,24,3
"Martellus Bennett","TE","NE",9,134,10.2,0.247,120,147,7.89,6.96,2.52,95,95,118,10,"5",39,121,2.2,37,8
"Telvin Smith","LB","JAC",5,108,15.8,6.46,91.2,118,7.74,-3.42,11,96,158,88,7,"3",35,123,5.6,48,2
"Julius Thomas","TE","JAC",5,133,16.3,2.39,114,161,7.65,1.21,16.5,97,125,77,11,"6",37,97.8,2.98,57,5
"Corey Graham","DB","BUF",10,95.7,6.27,3.28,92.2,103,7.55,14,4.91,98,86,107,4,"1",40,124,3.45,31,9
"Eli Manning","QB","NYG",8,284,12.6,2.44,265,303,7,-0.739,7.1,99,136,101,9,"5",45,78.1,5.2,25,12
"Charles Sims","RB","TB",6,143,8.96,0.273,134,160,6.96,20.2,4.79,100,77,108,32,"9",35,116,2.4,17,2
"T.J. Yeldon","RB","JAC",5,143,13,3.38,119,164,6.69,5.61,8.8,101,97,96,33,"9",32,100,4.15,41,1
"Tyler Lockett","WR","SEA",5,165,11.5,3.24,150,183,6.6,14.9,3.52,102,84,113,32,"7",33,87.9,5,25,1
"Jerry Hughes","DL","BUF",10,68.6,NA,1.43,NA,NA,5.79,NA,NA,103,NA,NA,4,"3",37,NA,1,NA,6
"Jason Witten","TE","DAL",7,131,6.11,5.25,124,140,5.25,11.4,-4.65,104,89,164,12,"6",44,128,2.1,14,13
"Dan Bailey","K","DAL",7,145,8.42,3.71,131,158,4.8,0,14.3,105,130,82,4,"2",38,132,1.26,45,5
"Carson Palmer","QB","ARI",9,282,5.07,1.01,275,288,4.56,8.72,-7.65,106,92,181,10,"5",46,61.4,7.52,14,13
"Ezekiel Ansah","DL","DET",10,67.2,10.3,2.71,60.7,74.9,4.36,1.95,9.09,107,120,95,5,"4",37,125,5.2,35,3
"Eric Weddle","DB","BAL",8,92.4,13.4,0.899,78.7,103,4.27,0.499,4.98,108,128,106,5,"1",41,176,2.1,16,9
"Jameis Winston","QB","TB",6,281,8.8,0.132,269,296,3.55,3.46,0,109,106,130,11,"6",32,115,4.37,47,1
"Kirk Cousins","QB","WAS",9,281,11.6,3.42,266,299,3.42,0,3.29,110,130,114,12,"6",37,112,3.58,64,4
"Harrison Smith","DB","MIN",6,91.5,17.5,0.732,74.4,108,3.37,-3.75,9.69,111,160,94,6,"1",37,146,4,47,4
"John Brown","WR","ARI",9,161,15.1,2.86,142,179,3.36,7.36,0,112,94,130,33,"7",36,81.1,5.84,35,2
"Justin Forsett","RB","FA",NA,140,11.5,3.31,133,153,3.31,19.2,-1.98,113,78,149,34,"10",40,112,3.14,86,8
"Mark Barron","DB","LA",NA,90.8,NA,0.458,NA,NA,2.64,NA,NA,114,NA,NA,7,"1",36,NA,3,NA,4
"Panthers","DST","CAR",7,108,13.7,1.94,94.3,129,2.63,2.42,11.7,115,112,86,1,"1",NA,86.9,2.82,55,NA
"Landon Collins","DB","NYG",8,90.3,8.27,1.37,82,97.4,2.18,3.8,-0.856,116,104,143,8,"1",32,155,3.95,4,1
"Robert Quinn","DL","LA",NA,64.5,1.65,1.02,63.1,66.3,1.64,4.33,0.475,117,101,128,6,"4",36,124,4.1,2,5
"Malcolm Smith","LB","OAK",10,102,6.98,1.08,94.7,107,1.29,0,0,118,130,130,8,"3",36,164,4.6,29,5
"Graham Gano","K","CAR",7,141,3.24,0.125,136,145,1.09,4.38,1.33,119,99,125,5,"2",39,117,1.38,10,7
"Steven Hauschka","K","SEA",5,141,3.19,0.107,136,146,0.969,4.35,1.92,120,100,122,6,"2",NA,119,1.64,3,NA
"Mason Crosby","K","GB",4,141,3.99,0.862,134,144,0.862,2.2,0,121,115,130,7,"2",41,134,1.3,6,9
"Marcus Peters","DB","KC",5,89,7.81,0.809,84.7,98.3,0.809,6.54,0,122,96,130,9,"2",33,160,4.9,62,1
"Broncos","DST","DEN",11,106,11.4,0.689,91.9,121,0.689,0,4.02,123,130,111,2,"1",NA,74,4.77,3,NA
"Carlos Dunlap","DL","CIN",9,63.4,1.49,0.0128,62,64.9,0.627,3.25,-0.894,124,108,144,7,"4",37,120,5.55,1,6
"Everson Griffen","DL","MIN",6,63.4,5.92,0.387,58.8,70.2,0.614,0,4.34,125,130,109,8,"4",38,181,2.8,23,6
"Marvin Jones","WR","DET",10,158,15.6,0.412,137,185,0.502,2.02,5.88,126,117,105,34,"7",36,90.3,4.31,48,4
"Calais Campbell","DL","ARI",9,63,1.9,0.227,61.8,65.3,0.227,3.02,-0.559,127,110,137,9,"4",39,180,2.85,7,8
"Paul Posluszny","LB","JAC",5,101,8.35,0.204,92.1,107,0.204,-2.54,-0.471,128,149,135,9,"3",41,134,4.9,53,9
"DeSean Jackson","WR","WAS",9,158,15,0.0904,135,178,0.0904,0,-1.04,129,130,145,35,"7",39,87.3,4.71,45,8
"Matthew Stafford","QB","DET",10,277,13.8,1.19,259,297,0,-7.28,1.45,130,180,124,13,"6",38,121,3.26,72,7
"Matthew Stafford","QB","DET",10,277,13.8,1.19,259,297,0,-7.28,1.45,130,180,124,13,"6",38,121,3.26,72,7
"LeGarrette Blount","RB","NE",9,136,15.8,3.54,114,155,0,0,-0.161,130,130,131,35,"10",39,107,2.15,62,6
"Allen Hurns","WR","JAC",5,158,19.9,4.04,135,197,0,-0.294,17.6,130,133,72,36,"8",34,83.8,5.35,68,2
"Zach Miller","TE","CHI",9,126,12.4,0.767,112,146,0,-0.169,1.56,130,132,123,13,"6",41,141,1.34,43,7
"Brandon McManus","K","DEN",11,140,7.81,2.04,126,146,0,-5.86,2.38,130,171,120,8,"3",34,142,1.36,74,2
"Chiefs","DST","KC",5,105,11.7,6.55,90.9,117,0,-0.937,0,130,138,130,3,"2",NA,107,1.8,58,NA
"Fletcher Cox","DL","PHI",4,62.8,4.76,0.302,58.1,67.1,0,-0.739,1.23,130,135,127,10,"4",35,159,5.55,11,4
"Deone Bucannon","LB","ARI",9,101,1.77,0.679,99.1,102,0,4.48,-4.85,130,98,165,10,"3",33,NA,5,2,2
"Malcolm Jenkins","DB","PHI",4,88.2,15.2,0.866,75,105,0,-3.16,6.41,130,155,103,10,"2",38,164,3.45,65,7
"Muhammad Wilkerson","DL","NYJ",11,62.5,2.32,0.943,61,65.3,-0.302,2.22,-0.586,131,114,140,11,"4",36,142,4.95,4,5
"DQwell Jackson","LB","IND",10,99.9,15.7,0.327,82.9,110,-0.679,-11.7,2.89,132,214,116,11,"3",42,122,4.45,55,10
"Dwayne Allen","TE","IND",10,125,10.9,6.25,113,142,-0.767,0,-2.67,133,130,152,14,"7",36,134,2.05,40,4
"Ron Parker","DB","KC",5,87.3,7.47,0.426,80.6,95.2,-0.866,2.4,-3.09,134,113,154,11,"2",38,192,1.5,20,5
"C.J. Mosley","LB","BAL",8,99.5,4.03,1.17,96.3,104,-1.01,1.61,-3.53,135,123,157,12,"3",34,136,5.15,3,2
"Tyrod Taylor","QB","BUF",10,276,10.8,2.1,268,297,-1.19,2.08,1.27,136,116,126,14,"6",36,117,2.9,53,5
"Ndamukong Suh","DL","MIA",8,61.6,1.02,0.64,60.6,62.6,-1.25,1.84,-3.27,137,122,156,12,"4",39,157,5.3,44,6
"Antoine Bethea","DB","SF",8,86.9,12.4,0.724,77.6,101,-1.29,-0.61,2.92,138,134,115,12,"2",41,216,1,64,10
"Cameron Jordan","DL","NO",5,60.9,5.34,0.384,55.5,65.8,-1.89,-3.3,0,139,157,130,13,"4",36,192,2.6,12,5
"Eric Berry","DB","KC",5,86.1,19.2,0.964,68.9,106,-2.02,-9.32,8.01,140,192,99,13,"2",37,213,1,89,6
"Blair Walsh","K","MIN",6,138,3.45,1.58,132,141,-2.04,0.62,-2.53,141,127,151,9,"3",36,141,1.25,35,4
"Eric Kendricks","LB","MIN",6,98.4,8.78,0.35,88.9,104,-2.18,-5.75,-3.06,142,168,153,13,"3",34,175,4.1,33,1
"Jason Pierre-Paul","DL","NYG",8,60.5,4.5,3.42,56.4,65.3,-2.27,-2.37,-0.539,143,146,136,14,"5",37,164,2.4,18,6
"Danny Trevathan","LB","CHI",9,98,1.47,0.869,96.6,99.5,-2.52,1.99,-7.74,144,118,185,14,"3",36,151,3,22,4
"Kenny Vaccaro","DB","NO",5,85.2,5.12,0.092,82.1,91.3,-2.98,3.94,-7,145,103,175,14,"2",35,139,2.95,7,3
"Morgan Burnett","DB","GB",4,85.1,10.8,0.279,78.2,97.8,-3.07,0,-0.453,146,130,134,15,"2",37,141,2.95,15,6
"Ryan Fitzpatrick","QB","NYJ",11,274,13.8,0.118,254,295,-3.28,-12.2,-0.794,147,217,142,15,"6",43,139,1.9,67,11
"David Amerson","DB","OAK",10,84.8,8.12,0.222,80,94.5,-3.35,1.86,-3.81,148,121,159,16,"2",34,201,0.5,71,3
"Sean Lee","LB","DAL",7,97.2,15.8,0.74,83.9,113,-3.39,-10.7,5.97,149,204,104,15,"3",39,118,4.9,84,6
"Derek Carr","QB","OAK",10,274,4.2,2.13,269,282,-3.4,3.46,-13.3,150,107,231,16,"6",35,103,4.88,39,2
"Theo Riddick","RB","DET",10,133,14.1,5.77,113,155,-3.54,-0.915,0.162,151,137,129,36,"10",35,132,1.9,45,3
"Ronald Darby","DB","BUF",10,84.6,7.1,1.02,77.2,89,-3.57,-0.993,-9.29,152,139,197,17,"2",32,170,1.4,36,1
"Cairo Santos","K","KC",5,137,4.19,0.526,129,142,-3.62,-2.42,-1.66,153,147,146,10,"3",34,145,1.14,32,2
"Tavon Austin","WR","LA",NA,154,21.3,6.82,132,197,-4.04,-3.25,17.4,154,156,73,37,"8",35,113,2.39,76,3
"Brandon Marshall","LB","DEN",11,96.4,5.11,2.07,91.7,101,-4.13,-3,-5.84,155,152,169,16,"3",36,160,4,7,4
"Adam Vinatieri","K","IND",10,136,3.73,1.89,130,141,-4.15,-1.22,-3.12,156,141,155,11,"3",53,142,1.35,16,20
"Trumaine Johnson","DB","LA",NA,83.6,9.86,1.45,73.3,89.8,-4.59,-4.88,-8.51,157,165,191,18,"2",36,185,3.15,38,4
"Andy Dalton","QB","CIN",9,272,8.12,5.36,263,286,-5.53,-3.04,-9.87,158,154,200,17,"7",38,118,3.08,61,5
"Cliff Avril","DL","SEA",5,57.1,3.48,0.0188,54.6,61.2,-5.69,-4.15,-4.65,159,162,163,15,"5",40,169,1.25,32,8
"Olivier Vernon","DL","NYG",8,57.1,1.8,0.0924,55.4,58.8,-5.71,-3.44,-7.08,160,159,176,16,"5",35,161,3.2,5,4
"Jabaal Sheard","DL","NE",9,57,9.99,0.249,48.1,67.8,-5.8,-10.6,1.98,161,202,121,17,"5",37,NA,2,91,5
"Matt Prater","K","DET",10,134,4.48,1.27,129,141,-6.04,-2.55,-2.52,162,150,150,12,"4",41,156,1.17,52,10
"Kurt Coleman","DB","CAR",7,82.1,12.6,1.24,72,96.4,-6.04,-6.17,-1.84,163,173,148,19,"2",37,183,2.75,51,6
"Kawann Short","DL","CAR",7,56.8,3.5,0.851,54.1,60.8,-6.05,-4.65,-5.04,164,164,166,18,"5",37,172,4.2,14,3
"Denzel Perryman","LB","SD",11,94.4,3.92,2.58,91.6,99,-6.2,-3.01,-8.33,165,153,190,17,"4",33,211,4.95,19,NA
"Packers","DST","GB",4,98.5,6.5,0.0121,89.5,105,-6.55,-2.34,-11.9,166,145,218,4,"2",NA,136,1.3,6,NA
"Vikings","DST","MIN",6,98.5,7.77,0.671,92.3,112,-6.57,0.445,-4.45,167,129,161,5,"3",NA,129,1.44,29,NA
"Jurrell Casey","DL","TEN",13,55.9,3.95,1.44,53,60.1,-6.9,-5.83,-5.71,168,170,168,19,"5",36,221,2.6,19,5
"Charles Clay","TE","BUF",10,119,5.81,0.664,113,130,-7.01,-0.033,-14.9,169,131,247,15,"7",37,148,1.55,31,5
"Cardinals","DST","ARI",9,97.8,12.6,3.84,76.1,111,-7.24,-15.8,-6.23,170,260,172,6,"4",NA,90.2,2.85,16,NA
"Johnathan Cyprien","DB","JAC",5,80.9,10.8,0.113,74.1,89,-7.28,-4.04,-9.25,171,161,196,20,"2",35,220,1.5,56,3
"Chandler Catanzaro","K","ARI",9,133,8.58,2.12,117,144,-7.31,-13.9,-0.236,172,242,132,13,"4",35,134,1.18,29,2
"Bashaud Breeland","DB","WAS",9,80.8,7.23,0.434,76.2,89.3,-7.39,-1.93,-8.93,173,143,194,21,"2",34,173,2.95,9,2
"Tyler Eifert","TE","CIN",9,118,17.3,0.608,100,145,-7.68,-12.6,0,174,219,130,16,"7",35,91.8,6.07,83,3
"Barry Church","DB","DAL",7,80.3,10.6,0.458,69.7,90.3,-7.83,-8.51,-8,175,188,186,22,"2",38,158,2.55,13,6
"Eric Ebron","TE","DET",10,118,8.15,5.64,100,124,-8.29,-12.3,-20.1,177,218,324,17,"7",33,145,1.95,29,2
"Karl Joseph","DB","OAK",10,79.9,25.5,0.0505,55.4,106,-8.29,-22.8,7.43,176,329,100,23,"2",NA,212,1,95,0
"Mario Williams","DL","MIA",8,54.5,9.02,0.0378,49.3,65.2,-8.34,-9.46,-0.651,179,196,141,20,"5",41,170,1,88,10
"Clayton Geathers","DB","IND",10,79.8,10.9,0.091,73,88,-8.34,-5.14,-10.3,178,167,204,24,"2",NA,170,0.5,69,NA
"Geno Atkins","DL","CIN",9,54.4,11.9,0.858,48,68.6,-8.38,-10.8,2.74,180,206,117,21,"5",38,173,5.75,65,6
"Jason McCourty","DB","TEN",13,79.7,13.9,0.636,70.4,89.5,-8.43,-7.74,-8.75,181,182,193,25,"2",38,204,1.15,58,7
"Kwon Alexander","LB","TB",6,91.8,3.57,0.31,88,94.4,-8.78,-6.7,-12.8,182,177,225,18,"4",31,151,3.65,17,1
"Ha Ha Clinton-Dix","DB","GB",4,79.1,NA,0.163,NA,NA,-9.06,NA,NA,183,NA,NA,26,"2",33,149,4.25,NA,2
"Jerrell Freeman","LB","CHI",9,91.5,2.36,0.964,88.7,92.8,-9.09,-6,-14.5,184,172,245,19,"4",40,160,3.3,21,5
"T.J. Ward","DB","DEN",11,78.9,3.78,0.219,76.1,83.3,-9.23,-2.13,-15,185,144,248,27,"2",39,181,0.5,11,6
"Gerald McCoy","DL","TB",6,53.6,5.48,0.79,49.4,59.9,-9.24,-9.41,-5.95,186,194,171,22,"6",38,170,1,49,6
"Isaiah Crowell","RB","CLE",13,127,9.06,1.92,112,137,-9.31,-1.88,-17.5,187,142,282,37,"10",33,118,2.06,30,2
"Dan Carpenter","K","BUF",10,131,4.36,0.103,125,137,-9.43,-6.31,-7.1,188,174,177,14,"4",40,171,0.45,58,8
"Reggie Nelson","DB","OAK",10,78.7,13.3,0.138,65.4,90.6,-9.44,-12.7,-7.62,189,220,180,28,"2",42,222,0.5,55,9
