"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Antonio Brown","WR","PIT",8,305,13.1,29.5,288,323,147,153,143,1,1,1,1,"1",37,1.54,56.3,1,6
"Julio Jones","WR","ATL",11,276,20.7,10.3,232,296,118,96.9,117,2,8,5,2,"1",37,4.7,52.6,39,5
"Todd Gurley","RB","LA",NA,253,20.2,0.217,227,278,116,113,123,3,3,3,1,"1",31,4.29,49.7,32,1
"David Johnson","RB","ARI",9,252,16.4,20.9,227,273,116,114,118,4,2,4,2,"2",34,6.57,45.9,18,1
"Odell Beckham","WR","NYG",8,265,18.8,23,244,304,107,109,125,5,4,2,3,"2",33,3.49,53.8,24,2
"Adrian Peterson","RB","MIN",6,232,7.71,0.204,222,244,95.1,108,89.5,6,5,11,3,"2",41,6.57,47.4,1,9
"Lamar Miller","RB","HOU",9,231,13.3,6.65,214,250,94.9,100,95.5,7,6,8,4,"3",35,12.6,39.3,6,4
"Rob Gronkowski","TE","NE",9,217,16.5,29.4,199,251,91.2,86.4,106,8,10,7,1,"1",37,11.1,44.4,26,6
"Devonta Freeman","RB","ATL",11,225,11.5,1.54,211,243,88.3,97.7,88.3,9,7,12,5,"3",34,16.3,34.3,23,2
"Ezekiel Elliott","RB","DAL",7,223,14,1.36,207,250,86.7,93,95.3,10,9,9,6,"3",30,8.08,47.5,10,0
"LeVeon Bell","RB","PIT",8,222,16.9,8.49,196,245,85.4,82.8,90.5,11,12,10,7,"4",33,14.3,40.7,69,3
"DeAndre Hopkins","WR","HOU",9,242,21.6,17.7,218,286,84.4,82.6,107,12,13,6,4,"3",34,9.73,45.1,51,3
"Mark Ingram","RB","NO",5,213,11.4,2.25,197,234,76.9,83.5,78.9,13,11,15,8,"4",36,22.8,29,4,5
"LeSean McCoy","RB","BUF",10,211,13.4,6.11,190,228,74.6,76.2,72.7,14,14,19,9,"4",37,25.3,26.8,13,7
"Cam Newton","QB","CAR",7,347,16.8,19.8,327,381,69.9,61,84.9,15,25,14,1,"1",37,17.8,31.4,6,5
"Jamaal Charles","RB","KC",5,205,19.5,6.49,184,242,68.5,69.9,86.9,16,18,13,10,"5",39,21.9,31.1,65,8
"Dez Bryant","WR","DAL",7,225,18.4,2.04,205,257,66.7,70.2,77.9,17,16,16,5,"3",37,16.2,40.5,49,6
"Allen Robinson","WR","JAC",5,223,19.3,0.642,193,252,64.6,58,73.2,18,27,18,6,"3",32,16.1,37.9,44,2
"Keenan Allen","WR","SD",11,222,16.9,1.98,204,249,64,69.1,70,19,20,20,7,"3",34,26.9,27.7,32,3
"Eddie Lacy","RB","GB",4,198,16,1.36,182,229,62,68.2,74.2,20,21,17,11,"5",35,20.4,29.6,28,3
"A.J. Green","WR","CIN",9,220,17.3,0.471,185,231,62,49.6,51.8,21,34,29,8,"3",37,11.2,43.6,18,5
"Jordan Reed","TE","WAS",9,188,5.29,15.7,182,196,61.8,69.3,51.1,22,19,31,2,"2",35,39.4,19.3,1,3
"Jordy Nelson","WR","GB",4,219,15.5,4.05,207,247,61.5,71.8,67.8,23,15,21,9,"3",41,20.2,32.8,23,8
"Doug Martin","RB","TB",6,197,9.05,9.91,184,206,60.7,70,51.1,24,17,30,12,"6",37,23.8,29.6,3,4
"Alshon Jeffery","WR","CHI",9,215,13.3,0.686,198,237,57.5,63.3,57.9,25,23,25,10,"4",36,27.6,29.9,10,4
"Brandon Marshall","WR","NYJ",11,215,11.4,4.07,200,229,56.8,64.6,49.5,26,22,32,11,"4",42,21.3,32,4,10
"Mike Evans","WR","TB",6,211,13.4,2.14,198,240,52.7,62.7,60.8,27,24,24,12,"4",32,24.7,29.7,11,2
"C.J. Anderson","RB","DEN",11,187,11,0.595,167,202,50.7,53.8,47.6,28,31,33,13,"6",35,31.8,22.3,7,3
"Amari Cooper","WR","OAK",10,209,16.6,1.56,192,243,50.6,57.3,63.5,29,28,22,13,"4",32,27.7,28.3,42,1
"Russell Wilson","QB","SEA",5,327,18.7,0.641,304,357,50.1,38.3,61.7,31,44,23,2,"1",37,34.6,20.1,8,4
"Matt Forte","RB","NYJ",11,187,12.9,7.83,169,211,50.1,55.4,56.1,30,29,26,14,"6",40,41.8,17,20,8
"Aaron Rodgers","QB","GB",4,327,12.4,9.28,311,341,49.5,44.5,45.7,32,37,38,3,"2",42,22.3,28.7,1,11
"Brandin Cooks","WR","NO",5,207,16.4,3.06,187,234,49,52.4,54.7,33,32,27,14,"4",32,32,25.7,38,2
"Greg Olsen","TE","CAR",7,172,13.4,12,145,183,46.1,32.4,38.6,34,55,45,3,"3",41,45,15.4,20,9
"Jarvis Landry","WR","MIA",8,204,11.7,1.31,194,225,45.9,58.6,45.8,35,26,37,15,"4",33,44.8,15.7,15,2
"T.Y. Hilton","WR","IND",10,203,10.9,1.67,190,222,44.6,55.3,43,36,30,39,16,"4",36,36.6,21.5,8,4
"Sammy Watkins","WR","BUF",10,201,11.9,4.27,184,219,43,49.3,39.5,37,35,44,17,"5",33,32.9,25.3,13,2
"Latavius Murray","RB","OAK",10,179,10.9,1.08,165,195,42.3,51.1,40.1,38,33,41,15,"6",36,42.5,13,11,3
"DeMarco Murray","RB","TEN",13,178,16.6,3.16,154,201,41.2,40.1,46.5,39,41,36,16,"7",38,49.3,12,55,5
"Andrew Luck","QB","IND",10,318,16.3,14.3,296,342,40.2,30.3,46.7,40,59,35,4,"3",36,42.8,17.8,11,4
"Randall Cobb","WR","GB",4,197,15.1,0.805,179,226,38.7,44,46.8,41,39,34,18,"5",35,44,15.9,27,5
"Carlos Hyde","RB","SF",8,174,14.8,0.882,152,189,38.1,38,34.5,42,46,49,17,"7",34,39.3,19.9,31,2
"Eric Decker","WR","NYJ",11,196,14.1,1.86,175,218,37.9,40.1,38.4,43,42,46,19,"5",39,52.6,13,20,6
"Thomas Rawls","RB","SEA",5,174,14.1,0.86,154,195,37.2,40.6,39.7,44,40,43,18,"7",32,41.8,17.6,37,1
"Jeremy Langford","RB","CHI",9,173,10.9,2.17,159,190,36.3,45.4,35.1,45,36,47,19,"7",34,64.6,7.92,27,1
"Demaryius Thomas","WR","DEN",11,194,13.4,3.68,173,211,36,37.7,31.6,46,47,51,20,"5",38,36.1,24.7,21,6
"J.J. Watt","DL","HOU",9,98.8,17.1,5.81,86.5,119,36,27.7,52.9,47,66,28,1,"1",37,64,16.2,72,5
"Danny Woodhead","RB","SD",11,171,13.5,5.54,152,190,34.2,38,35,48,45,48,20,"7",41,85.8,4.6,39,8
"Delanie Walker","TE","TEN",13,160,9.01,6.22,150,172,34.1,37,27.7,49,49,54,4,"4",41,65,6.62,11,10
"Golden Tate","WR","DET",10,190,12.5,1.46,168,210,32.3,33.2,30.7,50,54,52,21,"5",37,61.5,10.7,30,6
"Doug Baldwin","WR","SEA",5,189,18.9,1.46,169,220,30.9,33.6,40.8,51,52,40,22,"5",37,48,13.5,52,5
"Khalil Mack","DL","OAK",10,93,17,21.8,82.4,106,30.2,23.6,39.9,52,71,42,2,"2",35,85,9,96,2
"Jeremy Maclin","WR","KC",5,187,9.95,1.08,166,194,29.4,30.9,14.4,53,57,81,23,"5",38,50.8,12.5,1,7
"Jeremy Hill","RB","CIN",9,165,11.7,1.53,144,178,28.6,29.9,23.5,54,60,62,21,"7",33,51.2,11,35,2
"Reshad Jones","DB","MIA",8,117,15,16.7,103,132,28.5,24.4,33.9,55,69,50,1,"1",38,106,6.2,22,6
"Donte Moncrief","WR","IND",10,186,7.98,2.44,179,199,28.3,44.3,20,56,38,68,24,"6",32,60.7,9.13,3,2
"Travis Kelce","TE","KC",5,154,6.56,0.334,149,164,27.9,36.4,19.6,57,50,69,5,"4",36,62,8.09,3,3
