model,mae,rmse,pearson_r,spearman_r,n,top_decile
A_football,4.7183,6.4079,0.6132,0.6552,13528.0,0.3328
B_market,4.9518,6.5579,0.5853,0.5899,13528.0,0.3609
C_full,4.5751,6.2508,0.6366,0.6771,13528.0,0.3558
D_residual,4.7234,6.5388,0.6092,0.6519,13528.0,0.3447
baseline_rolling,4.9316,6.9672,0.5792,0.6322,13528.0,0.3306
baseline_market,4.9518,6.5579,0.5853,0.5899,13528.0,0.3609
