Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Emanuel Wilson,00-0038797,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.12,2.88,0.18,1.04,5.92,10.13,3.61,,,,0.0,0.0,0.0,21.31,0.14,0.63,4.15,0.02,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Mack Hollins,00-0033555,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.57,2.05,0.0,0.12,5.23,9.24,3.79,,,,0.0,0.0,0.0,0.01,0.0,1.82,11.77,0.09,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Corey Kiner,00-0040556,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.11,2.1,0.25,0.74,4.17,8.92,2.54,,,+0.4 with TreVeyon Henderson out,0.0,0.0,0.0,12.25,0.12,0.65,4.87,0.01,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Eli Raridon,,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.73,1.48,0.0,0.0,4.21,7.31,3.12,,,,0.0,0.0,0.0,0.0,0.0,1.13,11.49,0.07,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Elijah Arroyo,00-0040739,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.61,1.49,0.0,0.06,3.77,7.06,2.75,,,,0.0,0.0,0.0,0.0,0.0,0.92,12.06,0.11,0.08,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Kyle Williams,00-0040131,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.26,1.27,0.0,0.01,3.26,6.85,2.41,,,,0.0,0.0,0.0,0.4,0.0,0.59,10.91,0.09,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Eric Saubert,00-0033576,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.2,1.43,0.0,0.08,2.94,6.38,2.12,,,,0.0,0.0,0.0,0.0,0.0,0.88,9.0,0.07,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Ricky White,,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.35,0.15,0.0,0.0,2.03,4.46,1.5,,,,0.0,0.0,0.0,0.0,0.0,0.48,6.04,0.04,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Efton Chism,00-0040563,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.34,0.16,0.0,0.0,2.04,4.41,1.51,,,,0.0,0.0,0.0,0.0,0.0,0.47,5.93,0.05,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Reggie Gilliam,,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,1.04,0.35,0.0,0.02,1.27,2.99,0.93,,,+0.1 with TreVeyon Henderson out,0.0,0.0,0.0,3.34,0.05,0.22,1.62,0.0,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Drew Lock,00-0035704,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.94,0.0,0.0,0.0,2.58,7.87,1.91,,,,10.16,0.12,0.01,0.67,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Tommy DeVito,00-0038476,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.52,0.0,0.0,0.0,2.16,7.45,1.6,,,,10.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,TreVeyon Henderson,00-0040734,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,OUT,OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-09 18:22 ET
