Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Baseline_FFA,Market_PPR,Injury,Status,Note,Generated
Robert Burke,Model_Burke v1,Jaxon Smith-Njigba,00-0038543,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,18.09,17.15,8.44,11.49,22.92,29.38,8.47,17.6,17.81,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Rhamondre Stevenson,00-0036875,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,18.05,17.0,9.34,13.2,22.14,27.03,6.62,11.0,14.53,,,+4.2 (TreVeyon Henderson OUT),2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Drake Maye,00-0039851,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,16.55,16.45,6.5,11.24,21.27,26.35,7.43,16.28,16.41,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,A.J. Brown,00-0035676,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.85,14.86,4.88,8.8,20.15,24.74,8.4,14.78,14.18,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Sam Darnold,00-0034869,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.48,14.03,5.04,9.04,19.7,24.24,7.9,14.35,13.88,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Jadarian Price,,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,11.53,10.14,3.61,6.33,16.06,21.53,7.21,11.83,11.13,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Jason Myers,,K,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.9,8.9,3.11,5.78,12.01,15.13,4.45,9.82,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Romeo Doubs,00-0037816,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.85,7.29,2.01,3.86,12.32,18.5,6.27,8.57,8.47,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Hunter Henry,00-0033090,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.55,7.77,1.39,3.73,12.26,16.84,6.32,8.11,8.31,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Rashid Shaheed,00-0037545,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.84,6.8,1.84,3.91,10.77,15.93,5.09,8.06,7.01,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Cooper Kupp,00-0033908,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.67,6.56,1.67,3.63,10.66,14.45,5.21,7.64,6.92,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Andres Borregales,,K,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.38,7.38,2.58,4.8,9.96,12.54,3.69,5.67,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,AJ Barner,00-0039793,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.03,6.19,1.18,2.68,9.82,14.37,5.28,6.15,6.9,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Seahawks,,DST,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.81,6.81,2.38,4.43,9.19,11.57,3.4,8.49,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,George Holani,00-0039299,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.1,4.37,1.38,2.48,8.69,12.77,4.6,4.32,6.18,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Demario Douglas,00-0038621,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,5.16,3.67,0.21,1.66,7.2,11.81,4.1,5.74,4.34,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Patriots,,DST,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.58,4.58,1.6,2.98,6.18,7.78,2.29,6.02,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Corey Kiner,00-0040556,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.53,3.4,1.56,2.07,5.75,10.48,2.72,2.36,2.46,,,+1.7 (TreVeyon Henderson OUT),2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Tory Horton,00-0040648,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.2,2.91,0.0,0.83,5.86,10.35,3.72,4.1,,Q,Q,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Emanuel Wilson,00-0038797,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.07,2.73,0.11,0.94,5.78,10.61,3.59,3.54,,,,,2026-09-09 15:06 ET
Robert Burke,Model_Burke v1,Mack Hollins,00-0033555,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.94,2.36,0.0,0.65,5.86,9.8,3.86,4.51,3.02,,,,2026-09-09 15:06 ET
