Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Tutu Atwell,00-0036849,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.78,2.26,0.0,0.47,5.74,9.72,3.9,,,,0.0,0.0,0.0,0.57,0.0,1.49,18.87,0.06,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Tyler Higbee,00-0033110,TE,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.73,2.5,0.23,1.37,5.39,9.1,2.98,,,,0.0,0.0,0.0,0.0,0.0,1.38,17.31,0.1,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Kaelon Black,,RB,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.61,2.26,0.0,0.65,5.65,9.98,3.7,,,,0.0,0.0,0.0,17.64,0.08,0.75,5.61,0.03,0.04,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Kyle Juszczyk,,RB,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.48,1.96,0.0,0.4,5.44,10.0,3.73,Q,,,0.0,0.0,0.0,1.55,0.01,1.48,11.14,0.11,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Jacob Cowing,00-0039365,WR,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.16,1.82,0.0,0.27,4.2,8.53,2.91,Q,,,0.0,0.0,0.0,0.0,0.0,1.2,15.2,0.07,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Davis Allen,00-0039074,TE,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,3.07,2.17,0.0,0.73,4.4,8.09,2.71,Q,,,0.0,0.0,0.0,0.0,0.0,1.16,10.05,0.15,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Jake Tonges,00-0037112,TE,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,2.71,1.62,0.0,0.65,3.85,7.2,2.37,,,,0.0,0.0,0.0,0.0,0.0,1.04,9.54,0.13,0.04,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Jordan Whittington,00-0039751,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,2.69,1.44,0.02,0.21,3.79,7.71,2.65,,,,0.0,0.0,0.0,0.59,0.0,1.14,11.73,0.05,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Konata Mumpfield,00-0040590,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,2.07,0.96,0.0,0.0,2.95,6.19,2.19,,,,0.0,0.0,0.0,0.0,0.0,0.98,8.6,0.04,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Luke Farrell,00-0036887,TE,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.94,1.23,0.0,0.0,2.39,5.73,1.77,,,,0.0,0.0,0.0,0.0,0.0,0.83,5.92,0.13,0.12,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Max Klare,,TE,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.74,1.1,0.0,0.0,2.13,7.07,1.58,,,,0.0,0.0,0.0,0.0,0.0,0.7,7.1,0.06,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Xavier Smith,00-0038359,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.61,0.18,0.0,0.0,2.34,5.23,1.74,,,,0.0,0.0,0.0,0.0,0.0,0.51,8.56,0.04,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Ty Simpson,,QB,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.24,0.0,0.0,0.0,2.18,7.89,1.61,,,,18.72,0.11,0.01,0.84,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Ronnie Rivers,00-0037557,RB,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.23,0.37,0.0,0.12,1.54,3.36,1.06,,,,0.0,0.0,0.0,7.42,0.02,0.18,1.35,0.01,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Mac Jones,00-0036972,QB,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,1.05,0.0,0.0,0.0,1.98,7.69,1.46,,,,17.92,0.13,0.05,0.82,0.0,0.0,0.0,0.0,0.08,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Jordan Watkins,00-0040172,WR,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,0.46,0.0,0.0,0.0,0.49,2.59,0.36,,,,0.0,0.0,0.0,0.0,0.0,0.2,2.56,0.0,0.0,,,,,,,,2026-09-10 14:09 ET
