Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Jaxon Smith-Njigba,00-0038543,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,17.72,16.77,8.08,10.97,22.59,28.98,8.61,,,,0.0,0.0,0.0,1.55,0.01,6.23,82.96,0.5,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Drake Maye,00-0039851,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,16.49,16.32,6.46,11.05,21.53,26.31,7.76,,,,232.58,1.44,0.78,26.14,0.18,0.0,0.0,0.0,0.35,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Rhamondre Stevenson,00-0036875,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,15.58,14.61,7.05,10.85,19.83,24.54,6.65,,,+1.8 with TreVeyon Henderson out,0.0,0.0,0.0,66.87,0.47,2.74,26.88,0.16,0.16,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,A.J. Brown,00-0035676,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.66,14.38,4.75,8.62,19.97,24.56,8.4,,,,0.0,0.0,0.0,0.01,0.0,5.71,65.27,0.4,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Sam Darnold,00-0034869,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.46,14.21,4.94,8.94,19.68,24.15,7.96,,,,231.64,1.55,0.8,5.88,0.08,0.0,0.0,0.0,0.26,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Jadarian Price,,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,11.55,9.96,3.6,6.22,16.04,21.64,7.27,,,,0.0,0.0,0.0,55.31,0.58,1.66,9.16,0.03,0.1,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Jason Myers,,K,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.9,8.9,3.11,5.78,12.01,15.13,4.45,,,,,,,,,,,,,1.86,0.88,2.19,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Romeo Doubs,00-0037816,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.59,7.05,1.67,3.84,12.15,17.94,6.15,,,,0.0,0.0,0.0,0.0,0.0,3.32,37.25,0.26,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Hunter Henry,00-0033090,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.23,7.28,1.41,3.38,11.73,16.64,6.19,,,,0.0,0.0,0.0,0.0,0.0,3.22,33.8,0.27,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Rashid Shaheed,00-0037545,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.78,6.81,1.82,3.85,10.66,14.77,5.05,,,,0.0,0.0,0.0,2.81,0.01,2.98,33.17,0.2,0.04,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Cooper Kupp,00-0033908,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.61,6.51,1.69,3.68,10.56,14.33,5.1,,,,0.0,0.0,0.0,0.04,0.0,2.96,31.2,0.27,0.04,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Andres Borregales,,K,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.38,7.38,2.58,4.8,9.96,12.54,3.69,,,,,,,,,,,,,1.34,0.42,2.77,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,AJ Barner,00-0039793,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.96,6.1,1.15,2.75,9.74,14.29,5.18,,,,0.0,0.0,0.0,0.66,0.0,2.54,26.26,0.29,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Seahawks,,DST,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.81,6.81,2.38,4.43,9.19,11.57,3.4,,,,,,,,,,,,,,,,2.64,0.68,0.17,20.8,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,George Holani,00-0039299,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.14,4.35,1.2,2.43,8.79,12.85,4.72,,,,0.0,0.0,0.0,20.58,0.29,1.12,11.5,0.03,0.04,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Demario Douglas,00-0038621,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,5.35,3.69,0.09,1.53,7.39,13.48,4.34,,,,0.0,0.0,0.0,0.37,0.0,2.3,22.39,0.13,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Patriots,,DST,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.58,4.58,1.6,2.98,6.18,7.78,2.29,,,,,,,,,,,,,,,,1.52,0.64,0.1,23.8,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Tory Horton,00-0040648,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.16,2.69,0.0,0.76,6.04,10.71,3.91,Q,Q,,0.0,0.0,0.0,0.77,0.0,1.45,18.01,0.14,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Emanuel Wilson,00-0038797,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.07,2.73,0.11,0.94,5.78,10.61,3.59,,,,0.0,0.0,0.0,21.33,0.13,0.63,4.15,0.02,0.0,,,,,,,,2026-09-09 17:38 ET
Robert Burke,Model_Burke v1,Mack Hollins,00-0033555,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.63,2.15,0.0,0.16,5.47,9.31,3.94,,,,0.0,0.0,0.0,0.01,0.0,1.82,12.66,0.09,0.0,,,,,,,,2026-09-09 17:38 ET
