Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Jahmyr Gibbs,00-0039139,RB,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,23.63,22.23,14.05,17.05,28.88,35.68,8.77,,,,0.0,0.0,0.0,88.15,1.01,4.44,30.35,0.25,0.13,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Josh Allen,00-0034857,QB,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,23.52,23.6,12.04,18.4,28.35,32.88,7.37,,,,253.52,1.8,0.8,33.2,0.81,0.0,0.0,0.0,0.2,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Amon-Ra St. Brown,00-0036963,WR,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,20.63,19.48,10.18,13.92,25.3,33.13,8.43,,,,0.0,0.0,0.0,0.63,0.0,7.66,83.36,0.76,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,James Cook,00-0037248,RB,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,16.9,15.83,7.87,11.02,21.9,27.96,8.06,,,,0.0,0.0,0.0,77.69,0.8,2.2,17.43,0.11,0.13,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Jared Goff,00-0033106,QB,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,16.23,16.24,6.08,10.85,21.03,26.49,7.54,,,,267.5,1.74,0.71,0.9,0.03,0.0,0.0,0.0,0.15,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,D.J. Moore,00-0034827,WR,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,14.3,13.74,4.03,7.96,19.65,24.83,8.66,,,,0.0,0.0,0.0,2.77,0.04,4.62,63.57,0.47,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Jameson Williams,00-0037240,WR,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,12.66,11.38,4.39,7.03,16.72,22.81,7.18,,,,0.0,0.0,0.0,2.16,0.02,4.0,61.25,0.36,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Dalton Kincaid,00-0038933,TE,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,11.37,10.27,3.47,6.32,15.34,20.67,6.68,,,,0.0,0.0,0.0,0.0,0.0,3.97,51.52,0.37,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Sam LaPorta,00-0039065,TE,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,11.36,10.16,3.59,6.35,15.37,21.12,6.68,,,,0.0,0.0,0.0,0.0,0.0,4.62,46.5,0.35,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Khalil Shakir,00-0037261,WR,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,11.3,9.43,3.43,5.84,16.29,21.44,7.74,,,,0.0,0.0,0.0,0.35,0.0,4.81,45.49,0.33,0.03,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Tyler Bass,,K,BUF,,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,8.66,8.66,3.03,5.63,11.7,14.73,4.33,,,,,,,,,,,,,1.58,0.55,3.19,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Jake Bates,,K,DET,,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,8.45,8.45,2.96,5.49,11.41,14.37,4.23,,,,,,,,,,,,,1.52,0.58,3.08,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Ty Johnson,00-0035537,RB,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,5.13,3.15,0.59,1.66,7.29,12.03,4.17,Q,Q,,0.0,0.0,0.0,11.66,0.09,1.25,14.29,0.12,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Bills,,DST,BUF,,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,5.03,5.03,1.76,3.27,6.79,8.55,2.51,,,,,,,,,,,,,,,,1.89,0.64,0.12,25.0,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Josh Palmer,00-0036988,WR,BUF,DET,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,4.86,3.88,0.83,2.06,6.6,9.85,3.36,,,,0.0,0.0,0.0,0.0,0.0,1.6,24.64,0.13,0.0,,,,,,,,2026-09-16 17:46 ET
Robert Burke,Model_Burke v1,Sione Vaki,00-0039364,RB,DET,BUF,Detroit Lions @ Buffalo Bills,Thu 09/17 08:15 PM ET,4.85,2.94,0.37,1.21,6.63,12.43,4.01,,,,0.0,0.0,0.0,21.75,0.09,1.16,8.69,0.01,0.0,,,,,,,,2026-09-16 17:46 ET
