player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Tom Brady,TB,QB,5848,weighted,311.770991075622,16.3807193044003,2.36007045561296,0.418816264452618,0.623246667996041,0.351828362688345,2.61755284170972,1.40552402759242,0.0699342414279004,0.0410150648121822,0.0827736026303429,0.0213470584357267,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,12
Derek Carr,LVR,QB,11644,weighted,283.48826209488,15.747673838254,1.7048755284171,0.263885900684081,0.669558561718062,0.381571044364339,5.68740723344293,3.04417618232478,0.0684170972287459,0.0379292055547939,0.226450211366839,0.0743035882871066,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1991-03-28,,,,12
Aaron Rodgers,GB,QB,7836,weighted,261.094039455143,22.5924027253705,1.95786284640676,0.195212006643635,0.37031548248465,0.225428836696381,9.5395537811179,1.59564281168855,0.0991028651949272,0.0632930120291255,0.0799307186472522,0.0132110586570347,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1983-12-02,,,,12
Dak Prescott,DAL,QB,12620,weighted,273.720558947863,11.1874554408193,2.00897134805073,0.124763013995069,0.519101537256562,0.28730008943314,12.7090089243776,2.79463515176385,0.147294504462189,0.0929309799122577,0.272997886331611,0.12420533252839,0.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1993-07-29,,,,12
Josh Allen,BUF,QB,13589,weighted,283.840197275716,6.83681958678039,1.94612963832785,0.191804681360556,0.881768605824673,0.175127620644687,30.5118976045092,4.63801297951097,0.289948332550493,0.1696618308996,0.212188821042743,0.0499754338202963,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1996-05-21,,,,12
Justin Herbert,LAC,QB,14779,weighted,284.029098168154,6.71945300644836,1.92799436355096,0.122075423602598,0.847859306202504,0.137327255772409,22.5628511038046,2.37428027029149,0.179455143259746,0.103684313647872,0.0770502583372475,0.0190957285818622,0.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1998-03-10,,,,12
Matthew Stafford,LAR,QB,9431,weighted,278.647303898544,6.02205918039163,1.89255519023016,0.148888950590149,0.65376240601358,0.371362902359131,5.02761390324096,3.03065323509334,0.0259887271019258,0.0365578090024339,0.0903358384217943,0.0230806839589776,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,1988-02-07,,,,12
Matt Ryan,ATL,QB,9099,weighted,268.524424612494,11.837479644599,1.59590418036637,0.348833865468483,0.86206910124264,0.173249897869224,4.09977454203852,2.20064540867209,0.0715124471582903,0.0402906405968262,0.16267613903241,0.0462519599440745,0.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,12
Teddy Bridgewater,DEN,QB,11640,weighted,243.214950681071,19.1805948880732,1.23540159699389,0.211907183647702,0.775109035800743,0.144160436285802,9.23374823860968,2.57551588248687,0.108210427430719,0.0666064625994832,0.0885157350868953,0.0142313722904845,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1992-11-10,,,,12
Ben Roethlisberger,PIT,QB,7401,weighted,254.150623162845,14.9043425854672,1.68129335684891,0.24611882499285,0.742034568702601,0.207235977521037,1.83930041152263,1.27846575414771,0.0134156378600823,0.0193692711572927,0.186059670781893,0.0883887619611578,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,12
Kirk Cousins,MIN,QB,10700,weighted,262.818036636919,8.42067893535277,1.8938233912635,0.149409334134446,0.732914863749076,0.200270689067652,5.48209488022546,2.80320238057162,0.069962423673086,0.0382128588972522,0.156934006575857,0.0533676460893167,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,12
Jimmy Garoppolo,SF,QB,11760,weighted,250.974456202234,13.5810992064676,1.72309817754262,0.23969719940425,0.580115565540968,0.40286966763434,6.09567901234568,4.54826068152742,0.119100529100529,0.0853871372871025,0.203846266901822,0.0668965149657935,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1991-11-02,,,,12
Lamar Jackson,BAL,QB,13593,weighted,245.543583842179,10.7737971790336,1.67993893846876,0.386554764541449,0.918054414567599,0.155468189789079,59.5455847815876,5.72884703087489,0.472578675434476,0.281868961151647,0.224647721935181,0.0506660657577018,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1997-01-07,,,,12
Joe Burrow,CIN,QB,14777,weighted,251.325481446689,7.00072660188076,1.79852982620949,0.186837560455445,0.946413659851352,0.0939529756437072,9.27750587130108,2.8363843987585,0.082151244715829,0.0436413380378416,0.127518788163457,0.0479381648708114,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1996-12-10,,,,12
