player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Kirk Cousins,ATL,QB,10700,weighted,261.011289085203,17.4013414654787,1.75022782750203,0.344949639473213,0.770707892595606,0.185100649408507,4.3360769499012,1.19342504276678,0.0619121236777868,0.0453764998551196,0.13740032546786,0.0277525015481131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,2024,7
C.J. Stroud,HOU,QB,16150,weighted,266.463252935023,12.5528914885745,1.56774206672091,0.347603814385511,0.568844589096827,0.306279789534069,11.8475223759154,0.849731600911323,0.0725630593978845,0.0506407083226864,0.194357200976404,0.0065338133129591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,2001-10-03,,,2024,7
Baker Mayfield,TB,QB,13590,weighted,259.285710217366,14.3112294738082,1.83241659886086,0.171313153661797,0.922766476810415,0.16644963033385,12.7614070673021,1.04672670963883,0.116562245728234,0.0668218981030449,0.13740032546786,0.0277525015481131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1995-04-14,,,2024,7
Joe Burrow,CIN,QB,14777,weighted,249.257137045217,15.8554943356864,1.77848657445077,0.172603517478367,0.549580960130187,0.304534650753983,13.3131297221899,1.42642940690295,0.0944182262001627,0.073559337487349,0.154328722538649,0.0459581534887233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1996-12-10,,,2024,7
Brock Purdy,SF,QB,15698,weighted,255.51405033128,12.6102241263072,1.72736777868186,0.258010073928623,0.811627339300244,0.137156668442715,13.868425549227,2.46065082908865,0.0919121236777868,0.0401459179736041,0.197178600488202,0.0032669066564795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1999-12-27,,,2024,7
Geno Smith,SEA,QB,11150,weighted,260.916712774613,12.3118958658157,1.32528071602929,0.283779191230038,0.89860048820179,0.0953875627040518,17.3486498895734,2.36426020075613,0.0998860862489829,0.0487077211230848,0.13740032546786,0.0277525015481131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,1990-10-10,,,2024,7
Andy Dalton,CAR,QB,10313,weighted,241.109306056027,22.191405533019,1.29056143205858,0.274125085005245,0.865569568755085,0.136144056015915,7.95733697547367,1.57291922687671,0.0519609438567941,0.0504963559248353,0.125504475183076,0.0692151623065444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,1987-10-29,,,2024,7
Jared Goff,DET,QB,12611,weighted,247.9476572126,14.859098468273,1.36046786004882,0.317659841281663,0.747445077298617,0.197864532905119,3.90367662443334,1.26778292534634,0.0479170056956875,0.0471147234359886,0.13740032546786,0.0277525015481131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1994-10-14,,,2024,7
Jayden Daniels,WAS,QB,16581,weighted,239.297727536906,16.5677883396564,1.36693246541904,0.492255546149681,0.775325467860049,0.188442024913298,48.4668952690922,6.48116787453399,0.64580146460537,0.164256570938504,0.197870219690806,0.056614032121905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2000-12-18,,,2024,7
Patrick Mahomes,KC,QB,13116,weighted,247.648310473091,6.82059380574065,1.33454841334418,0.256709669727518,0.66413344182262,0.334024896086968,21.6786493083808,0.993699921415031,0.0825386493083808,0.0566404637057825,0.151507323026851,0.0428384179788399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,1995-09-17,,,2024,7
Sam Darnold,MIN,QB,13592,weighted,244.859994769267,15.1450078174975,1.62819365337673,0.32486277824003,0.697176566314076,0.339762664526209,11.3675491107753,2.69881347686715,0.0762896663954434,0.0808174893954186,0.320471928397071,0.0140243968718025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1997-06-05,,,2024,7
