player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Patrick Mahomes,KC,QB,13116,weighted,335.316190699859,14.7771838018669,2.65829497416628,0.334693836274205,0.495988727101926,0.320841788113053,11.7237952090183,6.52007142182466,0.102649802053278,0.0625047536066642,0.119128229215594,0.0533400265443011,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,1995-09-17,,,,13
Drew Brees,NO,QB,4925,weighted,294.310507280413,10.3775761374234,2.05926256458431,0.123307589934457,0.470056364490371,0.248926257082124,1.96821847950077,1.37255044746588,0.0607891028651949,0.0397197453463422,0.0342226397369657,0.0206651962516013,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,13
Jameis Winston,TB,QB,12140,weighted,298.499906059183,10.8835274698149,1.86426021606388,0.13265522456587,1.27891498356036,0.25550848487105,15.4110031537274,1.91820198888703,0.074007144945213,0.0632487295543017,0.284792860497886,0.113470590354062,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,13
Jameis Winston,NO,QB,12140,weighted,298.499906059183,10.8835274698149,1.86426021606388,0.13265522456587,1.27891498356036,0.25550848487105,15.4110031537274,1.91820198888703,0.074007144945213,0.0632487295543017,0.284792860497886,0.113470590354062,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,13
Jared Goff,LAR,QB,12611,weighted,281.624415049971,11.6626931148152,1.65172251616696,0.27108575675216,0.871516754850088,0.0888420297334671,4.08748971193416,2.17902348846247,0.0631212889248765,0.0407136227546173,0.254022339800118,0.12252447333292,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1994-10-14,,,,13
Matt Ryan,ATL,QB,9099,weighted,280.757397839361,8.76064642366207,1.77239079379991,0.209140627423889,0.861131986848286,0.0876475474367044,5.29381533919345,1.61590456211282,0.0636000653516713,0.0394550866138612,0.239605448567403,0.110462234046652,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,13
Tom Brady,NE,QB,5848,weighted,271.598651949272,15.8963943960551,1.77071395021137,0.276256353742013,0.475824330671677,0.265522378447837,2.10509360531437,1.52926488778698,0.0642528349996645,0.0386775802779606,0.0843644903710662,0.0216081727504376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,13
Tom Brady,TB,QB,5848,weighted,271.598651949272,15.8963943960551,1.77071395021137,0.276256353742013,0.475824330671677,0.265522378447837,2.10509360531437,1.52926488778698,0.0642528349996645,0.0386775802779606,0.0843644903710662,0.0216081727504376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,13
Dak Prescott,DAL,QB,12620,weighted,264.611728511038,16.3956730307393,1.76646782527008,0.269521377919306,0.867449506810709,0.102766210772388,17.1805898141314,1.90008467461595,0.216697704048588,0.119901972348009,0.0949704086425552,0.0260671087861929,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1993-07-29,,,,13
Russell Wilson,SEA,QB,10703,weighted,262.297477689056,22.1483279830168,2.00920620009394,0.195611511915294,0.467205260685768,0.253162550822987,25.4114440045628,3.23893084380775,0.110314853816653,0.0664414969737546,0.163517144199155,0.0504190697510212,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-11-29,,,,13
