player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Matt Ryan,ATL,QB,9099,weighted,293.152208544533,23.1870807908325,1.86592324402607,0.282831463493017,0.480391020999276,0.365851451545826,6.1073642288197,1.13276684898036,0.0381173062997828,0.0488416392515316,0.204091238233164,0.0041305964721404,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,7
Drew Brees,NO,QB,4925,weighted,293.811267197683,19.2844586633108,1.8932150615496,0.206685613743715,0.63394641564084,0.451979894813438,1.91784938450398,1.56320078181373,0.0558797972483707,0.0512176227036982,0.2,0.0,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,7
Tom Brady,NE,QB,5848,weighted,295.123975380159,10.9895553305186,2.33984793627806,0.478019267936727,0.335488776249095,0.254047768302443,4.7175887038378,1.37969827835842,0.0606444605358436,0.048897233747244,0.2,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,7
Jameis Winston,TB,QB,12140,weighted,272.049015206372,18.7104203801204,1.61469225199131,0.278179492554593,1.11740043446778,0.270711280939263,9.88343953656771,1.55800689818941,0.06302679217958,0.048450622306632,0.162092686459088,0.0453285795303231,0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,7
Kirk Cousins,WAS,QB,10700,weighted,283.270028964518,9.66883089729932,1.6088414192614,0.322077336504298,0.572215785662563,0.412411289912406,13.8725343953657,8.72370235409344,0.104612599565532,0.0851258757235119,0.313359884141926,0.0686556250967831,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,7
Dak Prescott,DAL,QB,12620,weighted,258.686625633599,21.5973104404148,1.79532947139754,0.167750889628065,0.350868935553946,0.250386548802173,22.0879869659667,6.01120229312032,0.204460535843592,0.168631769984218,0.212273714699493,0.0123917894164214,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1993-07-29,,,,7
Ben Roethlisberger,PIT,QB,7401,weighted,260.98697320782,17.3286352795614,1.59325126719768,0.294297495050799,1.06043446777697,0.161850848231597,2.9589283128168,2.85952734260203,0.0142939898624185,0.0295315500595917,0.158001448225923,0.0416048129052506,0.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,7
Carson Palmer,ARI,QB,6929,weighted,277.139695872556,10.298471948435,1.67901520637219,0.256158045064592,1.09140477914555,0.142589556823602,3.89298334540188,2.03111112760122,0.0119116582186821,0.0246096250496597,0.204091238233164,0.0041305964721404,0.12,1.60340448866249e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,1979-12-27,,,,7
Carson Wentz,PHI,QB,12610,weighted,259.194663287473,17.8175931046088,1.73209268645909,0.317796678588333,0.802476466328747,0.173313540166067,16.1193555394642,4.22107406744086,0.0725561187545257,0.0515564065178805,0.267270094134685,0.0330447717771236,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1992-12-30,,,,7
Russell Wilson,SEA,QB,10703,weighted,252.35264301231,14.1500420130411,1.54711078928313,0.388894996735996,0.69308472121651,0.567632720417751,24.0929254163649,1.54551050916845,0.0868501086169443,0.0676571073719985,0.233454018826937,0.0224775267278914,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-11-29,,,,7
