player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Drew Brees,NO,QB,4925,weighted,292.352518975332,24.1940120739576,2.0693880455408,0.168661173076745,0.635683111954459,0.355626609214676,1.95280834914611,2.09834164967134,0.0583633776091082,0.0502595446404732,0.13085009487666,0.0811104887462527,0.0855052182163188,0.0096533305977469,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,8
Tom Brady,NE,QB,5848,weighted,289.65224031443,21.552677116903,2.25217855137563,0.445269502889353,0.367445255474453,0.226304036164354,4.69473891072431,1.64284080318739,0.0713307130825379,0.0447803700643179,0.135204941044357,0.085061872856855,0.199185850645705,0.0750204483508177,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,8
Kirk Cousins,WAS,QB,10700,weighted,280.003885199241,17.2720776701924,1.76382352941176,0.269266236692763,0.543984819734345,0.304817016055352,11.62139943074,6.00887898798953,0.140289373814042,0.102689326333559,0.258256166982922,0.100375769834984,0.0758420303605313,0.0160888843295782,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,8
Matt Ryan,ATL,QB,9099,weighted,274.432447817837,17.1184226846744,1.58295066413662,0.326608760221886,0.583277988614801,0.324477384306537,6.25926470588235,1.50589495618398,0.0265322580645161,0.044139890706451,0.151271347248577,0.0450932055070784,0.0661788425047438,0.0225244380614095,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,8
Philip Rivers,LAC,QB,7394,weighted,279.232386299832,15.2155699284097,1.84162268388546,0.248744595661954,0.998444693992139,0.0819605140263439,1.94540707467715,1.46586525331071,0.0036945536215609,0.0086846161338823,0.202841100505334,0.004016553115322,0.179983155530601,0.0893100575604973,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-12-08,,,,8
Ben Roethlisberger,PIT,QB,7401,weighted,267.958534531162,13.8341641810283,1.66269511510387,0.244145331310909,0.941308253790006,0.159023012117784,2.42387984278495,2.63077766244575,0.0110836608646828,0.026053848401647,0.164761370016844,0.040703144456217,0.194385176866929,0.0785928506532376,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,8
Jameis Winston,TB,QB,12140,weighted,264.815099620493,23.2119608139978,1.70437381404175,0.239150404437156,0.918500948766603,0.167460125103159,9.15064990512334,1.70489643595924,0.0757779886148008,0.0418971516162207,0.256447817836812,0.0415220605530969,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,8
Andy Dalton,CIN,QB,10313,weighted,259.59374288425,23.8374656818688,1.5747770398482,0.295639153601308,0.827784629981025,0.272256792168896,11.1672675521822,0.862662575026882,0.115507590132827,0.0756713180334368,0.226290322580645,0.0769405734608279,0.0710104364326376,0.0193066611954939,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,1987-10-29,,,,8
Carson Wentz,PHI,QB,12610,weighted,258.415915559772,11.8219275783497,2.03465370018975,0.538767771816342,0.551911764705882,0.307687044958946,18.4966081593928,5.52609037152692,0.111674573055028,0.073421940175797,0.208929791271347,0.0151677337445033,0.108199715370019,0.0611377604523972,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1992-12-30,,,,8
Cam Newton,CAR,QB,10273,weighted,243.583012333966,32.9174843678111,1.50553130929791,0.300971097529974,1.01313092979127,0.191327772874086,28.6598956356736,6.16237182208544,0.256138519924099,0.139254415282236,0.182833017077799,0.103961887506743,0.132357685009488,0.045048876122819,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,1989-05-11,,,,8
