player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Patrick Mahomes,KC,QB,13116,weighted,313.581728511038,13.4096174469776,2.42460779708783,0.412709399856881,0.558604978863316,0.292714399912199,17.6403898543917,2.2741987977088,0.105180836073274,0.0653385872031919,0.104644199154533,0.0183483234670804,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,1995-09-17,,,,9
Justin Herbert,LAC,QB,14779,weighted,289.880624706435,16.4559033753961,2.00746829497417,0.0639813044984414,0.791146077970878,0.163682341223207,12.9342602160639,1.73219111023962,0.095974635979333,0.0536403728644537,0.119704086425552,0.0569203185758446,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1998-03-10,,,,9
Tua Tagovailoa,MIA,QB,14778,weighted,272.312465946454,16.8543562024998,1.85164866134335,0.175889686679124,0.857933302019728,0.156691955442824,10.0567496477219,3.3607024278315,0.124434006575857,0.0753311109120648,0.0677137153593236,0.0345042553288321,0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1998-03-02,,,,9
Tom Brady,TB,QB,5848,weighted,273.319600751527,13.4184957760178,1.81651479567872,0.212678440936578,0.442630342883983,0.243831242108894,1.08758102395491,1.35316533413995,0.0314138093001409,0.0413364783889364,0.185550728041334,0.0766663964335387,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,9
Joe Burrow,CIN,QB,14777,weighted,274.060319398779,13.5037127639302,1.9550070455613,0.0658230057537568,0.839689995302959,0.110926464794532,12.9721982151245,4.98130543805989,0.178177548144669,0.0996563249816949,0.127518788163457,0.0479381648708114,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1996-12-10,,,,9
Aaron Rodgers,GB,QB,7836,weighted,266.129478628464,15.9755135525205,2.06834664161578,0.075329750536637,0.323738844527947,0.183142646820866,2.8292907468295,2.32822628163261,0.0684546735556599,0.0411870476677537,0.154062940347581,0.0569254891619378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1983-12-02,,,,9
Josh Allen,BUF,QB,13589,weighted,279.116284640676,10.7388156138074,2.0605260685768,0.123640369284989,0.728957256928135,0.427104773547104,42.7873038985439,3.846205568469,0.294579614842649,0.166789865819982,0.203575622357915,0.0586296376624973,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,1996-05-21,,,,9
Kirk Cousins,MIN,QB,10700,weighted,265.218633161109,6.07034687072767,1.9306434945984,0.102996745905387,0.724363550962893,0.163403507952865,5.3345467355566,2.97292315404399,0.0898637858149366,0.0646558874281994,0.156934006575857,0.0533676460893167,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,9
Kyler Murray,ARI,QB,14056,weighted,255.863222170033,14.1618837941744,1.69718647252231,0.25970938710486,0.795749178017849,0.113078274714286,35.4213339596054,2.19479724732791,0.217116016909347,0.126497510303589,0.0931599342414279,0.0298383025415989,0.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,1997-08-07,,,,9
Matthew Stafford,LAR,QB,9431,weighted,255.107454203852,12.2117288949771,1.31702677313293,0.311068712028559,0.726124941286989,0.394808012640454,3.44303428839831,2.84257601635318,0.0730248943165805,0.0399611227804069,0.19209135744481,0.0710285335167312,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,1988-02-07,,,,9
