player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Ben Roethlisberger,PIT,QB,7401,weighted,283.492527154236,34.4628243943528,1.77041998551774,0.24279208420612,0.852295438088342,0.199237722471817,3.19456915278783,3.13958170472471,0.0142939898624185,0.0295315500595917,0.195908761766836,0.0041305964721404,0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,10
Matt Ryan,ATL,QB,9099,weighted,286.319304851557,17.0677054154046,1.85509775524982,0.240090428697116,0.399601737871108,0.292286405046982,7.33997827661115,2.31291474915056,0.0238233164373642,0.0492192500993194,0.267270094134685,0.0330447717771236,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,10
Drew Brees,NO,QB,4925,weighted,282.277726285301,12.5303323789827,1.68724837074584,0.242501653593223,0.620948587979725,0.443174845540159,2.58598841419261,2.92717053276406,0.0677914554670529,0.0490495825084664,0.204091238233164,0.0041305964721404,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,10
Matthew Stafford,DET,QB,9431,weighted,274.918906589428,18.0005697823574,2.0,0.0,0.458073859522085,0.347910196468084,7.64540912382332,2.09837930514773,0.0654091238233164,0.0485019260161283,0.204091238233164,0.0041305964721404,0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,1988-02-07,,,,10
Tom Brady,NE,QB,5848,weighted,272.86282404055,5.94609096495877,2.15314989138306,0.603520870142798,0.395047067342505,0.313887395331286,2.853301955105,2.55557984000259,0.0582621288921072,0.0498283737038658,0.2,0.0,0.06,8.01702244331247e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,10
Russell Wilson,SEA,QB,10703,weighted,274.67018826937,1.43706603429588,1.77192614047791,0.291374538798883,0.743113685734975,0.563555813352018,28.1246850108617,4.93964436682,0.0868501086169443,0.0676571073719985,0.220456191165822,0.0206529823607023,0.12,1.60340448866249e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-11-29,,,,10
Josh McCown,NYJ,QB,6589,weighted,246.275220854453,23.4215953994783,1.61707458363505,0.315656898562389,0.942824040550326,0.0941570785880277,10.8171035481535,1.90529583422823,0.103526430123099,0.0843399305865041,0.254996379435192,0.045436561193545,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,1979-07-04,,,,10
Ryan Fitzpatrick,TB,QB,8062,weighted,260.0341564084,15.0175676978466,1.68745836350471,0.306142176047142,1.35631426502534,0.476529954205537,11.432867487328,1.80848675087666,0.0476466328747285,0.0577047108406592,0.2,0.0,0.11,1.60340448866249e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1982-11-24,,,,10
Kirk Cousins,WAS,QB,10700,weighted,265.242404055033,7.82768012667218,1.66125271542361,0.317392314837063,0.896473569876901,0.0843399305865041,10.1931498913831,4.44382078184043,0.0950832729905865,0.0835950587329575,0.321542360608255,0.0607519162493965,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,10
Brock Osweiler,DEN,QB,10702,weighted,229.425416364953,26.3548377953416,1.13232440260681,0.228761474537042,1.07125995655322,0.151955980064436,4.33759594496741,5.05553742258141,0.0428819695872556,0.0525430138627092,0.2,0.0,0.06,8.01702244331247e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1990-11-22,,,,10
