player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Ben Roethlisberger,PIT,QB,7401,weighted,307.081973434535,15.5845220390953,1.90431688804554,0.126536859236702,0.882779886148008,0.0989136908445803,3.09255218216319,1.83562925567948,0.175047438330171,0.391140659191885,0.215761385199241,0.0649215185172124,0.534843453510436,0.289599917932408,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,1
Andrew Luck,IND,QB,10695,weighted,283.30265654649,22.3118754943243,2.2834440227704,0.386496991698371,1.10611954459203,0.211678848334778,18.6405123339658,2.77401808115692,0.0818364020184453,0.0420015865233079,0.327810721062619,0.0361108090229144,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1989-09-12,,,,1
Drew Brees,NO,QB,4925,weighted,298.607685009488,12.6670149878105,2.16703036053131,0.442806500286984,0.946537001897533,0.0868874469436463,2.47884250474383,2.30536636280886,0.057843137254902,0.0501321482848958,0.231273719165085,0.0383958171379131,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,1
Matthew Stafford,DET,QB,9431,weighted,279.113092979127,28.1064318433252,1.80526565464896,0.227237232730368,0.903273244781784,0.123750961616863,9.61807400379507,4.69367953488522,0.0945897972486289,0.0578042771213012,0.231273719165085,0.0383958171379131,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,1988-02-07,,,,1
Philip Rivers,SD,QB,7394,weighted,280.252466793169,20.3060655396843,1.57931688804554,0.359086791545239,1.06527514231499,0.162027541904317,2.66888045540797,1.77022502257146,0.0,0.0,0.174845825426945,0.0755898025040956,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-12-08,,,,1
Matt Ryan,ATL,QB,9099,weighted,292.471916508539,10.6719609907432,1.75412713472486,0.205257612233362,0.784297912713472,0.423805819892633,4.71252371916509,2.92126757189718,0.0397849462365591,0.0496161956432858,0.303462998102467,0.0642608476131799,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,1
Eli Manning,NYG,QB,7391,weighted,283.698197343454,17.464960644503,1.77414611005693,0.373071045975419,0.700237191650854,0.374039146205281,2.65901328273245,1.63559808816446,0.0,0.0,0.184238614800759,0.0649215185172124,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-01-03,,,,1
Kirk Cousins,WAS,QB,10700,weighted,284.923055028463,17.6054493798486,1.82106261859583,0.253413534779754,0.934392789373814,0.0802431621668627,5.19117647058824,1.95165497907159,0.177798952358103,0.177704499211726,0.456271347248577,0.265435340528808,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,1
Carson Palmer,ARI,QB,6929,weighted,281.148339658444,13.1377774467818,1.89838709677419,0.109600983097972,0.958681214421252,0.142631620271935,1.40654648956357,0.962672369468194,0.018208412397217,0.0391025108302591,0.24357210626186,0.0384254737274487,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,1979-12-27,,,,1
Aaron Rodgers,GB,QB,7836,weighted,270.199146110057,19.5927002093525,2.04928842504744,0.103211453231822,0.503747628083491,0.320542634019044,16.241935483871,2.67521964561551,0.0791767059558621,0.0412499148862574,0.24357210626186,0.0384254737274487,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1983-12-02,,,,1
Derek Carr,OAK,QB,11644,weighted,272.687855787476,17.5963702380467,2.13709677419355,0.151935047699562,0.799952561669829,0.167751799046484,9.02765654648956,2.3762935949985,0.0232022849462366,0.0420795075649213,0.24357210626186,0.0384254737274487,0.534843453510436,0.289599917932408,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1991-03-28,,,,1
Jameis Winston,TB,QB,12140,weighted,260.651944971537,11.7429328344001,1.50246679316888,0.345569251016073,0.98111954459203,0.0747718667184148,14.4893263757116,1.73435431680083,0.216733512049506,0.162408905703094,0.172189278937381,0.0361108090229144,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,1
Ryan Fitzpatrick,NYJ,QB,8062,weighted,245.363045540797,27.2286962232275,1.68192599620493,0.279813051089617,1.03282732447818,0.146645771577269,14.4974383301708,4.09728785680583,0.0780039021560714,0.041269415790152,0.343406072106262,0.328956938214605,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1982-11-24,,,,1
Carson Wentz,PHI,QB,12610,weighted,235.168548387097,26.3697333469521,1.39416508538899,0.347978155218842,1.05977229601518,0.300619379240488,13.6768026565465,8.13491706104861,0.0809740949926181,0.0739901520938332,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1992-12-30,,,,1
Blake Bortles,JAC,QB,11642,weighted,256.913045540797,15.83768406976,1.74833965844402,0.235166607384595,1.1430265654649,0.176264047153991,19.203889943074,6.8591702162335,0.0943893656839428,0.0648334700262081,0.227810721062619,0.0361108090229144,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1991-12-16,,,,1
Russell Wilson,SEA,QB,10703,weighted,256.039373814042,15.3579357100183,1.98102466793169,0.0429807776854792,0.549409780775717,0.369021344108346,34.1793168880455,6.58411851357615,0.154104004788287,0.0828881479508027,0.172189278937381,0.0361108090229144,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-11-29,,,,1
Brock Osweiler,HOU,QB,10702,weighted,248.636574952562,22.4457099348151,1.78420303605313,0.253974266119043,0.510118043844857,0.316063885729509,6.07760910815939,3.85623554963194,0.078899430740038,0.0412349686166705,0.196537001897533,0.0642608476131799,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1990-11-22,,,,1
Joe Flacco,BAL,QB,9064,weighted,246.301992409867,10.7530308283924,1.52618595825427,0.336042195545396,1.09824478178368,0.0886370898269816,3.40626185958254,3.00018181614648,0.094876660341556,0.0907380464462424,0.172189278937381,0.0361108090229144,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-01-16,,,,1
Jimmy Garoppolo,NE,QB,11760,weighted,241.846869070209,20.5490050923504,1.39093927893738,0.364411532250907,0.94573055028463,0.0868443190773681,10.1487191650854,5.72574953724776,0.0919636633296255,0.0824433466670944,0.20611954459203,0.113576392799796,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,1991-11-02,,,,1
Andy Dalton,CIN,QB,10313,weighted,230.285436432638,19.1370546431655,1.24421252371917,0.296159641464264,0.736818437324339,0.480420860659582,11.294165085389,1.59133635187769,0.120215942059996,0.0761950904035362,0.26808981657179,0.0360160485869429,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,1987-10-29,,,,1
Alex Smith,KC,QB,7813,weighted,229.074383301708,22.2723615125708,1.5469165085389,0.408464569854421,0.415458122540753,0.328690270727925,28.3241935483871,4.58261538292984,0.257068311195446,0.35856772366491,0.16808981657179,0.0360160485869429,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1984-05-07,,,,1
Tyrod Taylor,BUF,QB,10413,weighted,214.371821631879,26.9466168767452,1.38524667931689,0.366621417157346,0.503747628083491,0.320542634019044,36.5441176470588,6.67303617970758,0.304506641366224,0.342653953493585,0.16808981657179,0.0360160485869429,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,1989-08-03,,,,1
Jay Cutler,CHI,QB,8252,weighted,234.61119544592,19.6669091885574,1.20099620493359,0.209754013194988,0.994686907020873,0.130112036795958,10.4588709677419,2.34565528954227,0.0581843950007806,0.0495576841789511,0.296537001897533,0.0642608476131799,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0,1983-04-29,,,,1
Ryan Tannehill,MIA,QB,10697,weighted,233.262381404175,17.6542829163727,1.17068311195446,0.167238313500031,0.882779886148008,0.0989136908445803,11.5319259962049,5.5119201885285,0.0591697094282483,0.0493602558567526,0.419402277039848,0.291356829749895,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-07-27,,,,1
Sam Bradford,MIN,QB,9817,weighted,80.523578751165,140.806048790328,0.645293569431501,1.10651369388854,0.306616961789376,0.565749405196781,2.5170549860205,4.47483856453753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,1987-11-08,,,,1
