player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Jared Goff,LAR,QB,12611,weighted,307.464541637509,24.7324025044219,2.49061931420574,0.507283453085004,0.777480755773268,0.11927735963661,9.15691742477257,2.71934145518894,0.0760181945416375,0.0663448256876906,0.149538138558432,0.0393459794573988,0.0951242127361791,0.0026984491193847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1994-10-14,,,,11
Drew Brees,NO,QB,4925,weighted,300.160951714486,20.2078259878263,2.25104618614416,0.353769027941465,0.459527641707488,0.259283729735828,3.0619489153254,2.64297229707532,0.13757522743177,0.0747391907754222,0.0925752274317705,0.0515087824075719,0.065869489153254,0.0188891438356929,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,11
Patrick Mahomes,KC,QB,13116,weighted,311.580857242827,15.4993842088544,2.66271168649405,0.338180490808148,0.778803358992302,0.173210335311994,15.8948425472358,3.77404781371347,0.135395381385584,0.0709055632402444,0.102540237928621,0.0498552504957544,0.0804968509447166,0.0107937964775388,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,1995-09-17,,,,11
Matt Ryan,ATL,QB,9099,weighted,299.41622463261,14.7658405883483,2.01345696291113,0.166262665985202,0.675895731280616,0.221102941569303,7.51386983904829,1.25522114497082,0.0889433170048985,0.0404604333387617,0.147480755773268,0.0492273121102021,0.0951242127361791,0.0026984491193847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,11
Ryan Fitzpatrick,TB,QB,8062,weighted,294.87344996501,16.4719863440578,1.8526766969909,0.16011043140766,1.12324352694192,0.18004794892949,16.8005178446466,3.20334555987428,0.112970608817355,0.0636495643557792,0.156878936319104,0.0744955427063523,0.1,1.48476542622689e-17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,1982-11-24,,,,11
Eli Manning,NYG,QB,7391,weighted,285.162716049383,19.0898899289151,1.87014403292181,0.22665423994171,0.774024691358025,0.158222286139249,2.5642304526749,3.12242102562786,0.0187860082304527,0.0261809157070307,0.230241426611797,0.0942431050694507,0.0291234567901235,0.0177326320401966,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-01-03,,,,11
Carson Wentz,PHI,QB,12610,weighted,296.647067879636,15.7576129466866,2.01673897830651,0.133537314533126,0.762498250524843,0.216046523351832,15.0602764170749,2.03528712996231,0.101763470958712,0.0663569737697779,0.260909727081875,0.0832486199290819,0.260993701889433,0.0215875929550776,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1992-12-30,,,,11
Philip Rivers,LAC,QB,7394,weighted,273.339394681595,19.4859539674971,2.0807277816655,0.0855087051726773,0.784478656403079,0.161047052095093,1.81473757872638,1.56880264527819,0.0206473058082575,0.0357097138420591,0.107011896431071,0.0519849158654303,0.0804968509447166,0.0107937964775388,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-12-08,,,,11
Ben Roethlisberger,PIT,QB,7401,weighted,293.116868439468,11.0745200261262,1.99971658502449,0.115629068918532,0.933170048985304,0.137315204143862,5.7905633310007,2.33307100739697,0.0840097970608817,0.0641633687280449,0.149482155353394,0.0468803806999218,0.143882085374388,0.0242860420744623,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1982-03-02,,,,11
Kirk Cousins,MIN,QB,10700,weighted,282.561731980406,12.3252844695698,1.80832400279916,0.269879215452771,0.734405178446466,0.317169393692501,8.06069979006298,2.58998519457003,0.0977991602519244,0.0741796789396118,0.293855843247026,0.110365588787061,0.0804968509447166,0.0107937964775388,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,1988-08-19,,,,11
