snapshot,season,week_of_paste,table,team,player,week,value
2026-09-10,2026,1,dst,PIT,,avg,5.3
2026-09-10,2026,1,dst,PIT,,playoffs,5.9
2026-09-10,2026,1,dst,NYJ,,1,7.0
2026-09-10,2026,1,dst,NYJ,,2,5.2
2026-09-10,2026,1,dst,NYJ,,3,3.3
2026-09-10,2026,1,dst,NYJ,,4,3.7
2026-09-10,2026,1,dst,NYJ,,5,8.0
2026-09-10,2026,1,dst,NYJ,,6,3.1
2026-09-10,2026,1,dst,NYJ,,7,8.0
2026-09-10,2026,1,dst,NYJ,,8,8.2
2026-09-10,2026,1,dst,NYJ,,9,4.0
2026-09-10,2026,1,dst,NYJ,,10,4.4
2026-09-10,2026,1,dst,NYJ,,11,4.3
2026-09-10,2026,1,dst,NYJ,,12,7.2
2026-09-10,2026,1,dst,NYJ,,14,4.4
2026-09-10,2026,1,dst,NYJ,,15,6.8
2026-09-10,2026,1,dst,NYJ,,16,4.0
2026-09-10,2026,1,dst,NYJ,,17,6.2
2026-09-10,2026,1,dst,NYJ,,avg,5.5
2026-09-10,2026,1,dst,NYJ,,playoffs,5.7
2026-09-10,2026,1,dst,KC,,1,6.5
2026-09-10,2026,1,dst,KC,,2,6.3
2026-09-10,2026,1,dst,KC,,3,8.2
2026-09-10,2026,1,dst,KC,,4,8.2
2026-09-10,2026,1,dst,KC,,6,5.8
2026-09-10,2026,1,dst,KC,,7,4.1
2026-09-10,2026,1,dst,KC,,8,4.2
2026-09-10,2026,1,dst,KC,,9,7.5
2026-09-10,2026,1,dst,KC,,10,5.4
2026-09-10,2026,1,dst,KC,,11,8.0
2026-09-10,2026,1,dst,KC,,12,4.1
2026-09-10,2026,1,dst,KC,,13,2.2
2026-09-10,2026,1,dst,KC,,14,4.1
2026-09-10,2026,1,dst,KC,,15,5.8
2026-09-10,2026,1,dst,KC,,16,4.7
2026-09-10,2026,1,dst,KC,,17,4.6
2026-09-10,2026,1,dst,KC,,avg,5.6
2026-09-10,2026,1,dst,KC,,playoffs,5.0
2026-09-10,2026,1,dst,CHI,,1,6.3
2026-09-10,2026,1,dst,CHI,,2,7.0
2026-09-10,2026,1,dst,CHI,,3,7.0
2026-09-10,2026,1,dst,CHI,,4,7.8
2026-09-10,2026,1,dst,CHI,,5,4.6
2026-09-10,2026,1,dst,CHI,,6,4.8
2026-09-10,2026,1,dst,CHI,,7,3.0
2026-09-10,2026,1,dst,CHI,,8,5.0
2026-09-10,2026,1,dst,CHI,,9,5.0
2026-09-10,2026,1,dst,CHI,,11,6.0
2026-09-10,2026,1,dst,CHI,,12,4.1
2026-09-10,2026,1,dst,CHI,,13,5.5
2026-09-10,2026,1,dst,CHI,,14,7.1
2026-09-10,2026,1,dst,CHI,,15,4.0
2026-09-10,2026,1,dst,CHI,,16,5.0
2026-09-10,2026,1,dst,CHI,,17,4.7
2026-09-10,2026,1,dst,CHI,,avg,5.4
2026-09-10,2026,1,dst,CHI,,playoffs,4.6
2026-09-10,2026,1,dst,MIA,,1,6.0
2026-09-10,2026,1,dst,MIA,,2,2.6
2026-09-10,2026,1,dst,MIA,,3,2.9
2026-09-10,2026,1,dst,MIA,,4,3.9
2026-09-10,2026,1,dst,MIA,,5,2.8
2026-09-10,2026,1,dst,MIA,,7,6.0
2026-09-10,2026,1,dst,MIA,,8,3.2
2026-09-10,2026,1,dst,MIA,,9,3.9
2026-09-10,2026,1,dst,MIA,,10,3.8
2026-09-10,2026,1,dst,MIA,,11,3.4
2026-09-10,2026,1,dst,MIA,,12,6.2
2026-09-10,2026,1,dst,MIA,,13,3.3
2026-09-10,2026,1,dst,MIA,,14,4.1
2026-09-10,2026,1,dst,MIA,,15,4.3
2026-09-10,2026,1,dst,MIA,,16,4.0
2026-09-10,2026,1,dst,MIA,,17,3.8
2026-09-10,2026,1,dst,MIA,,avg,4.0
2026-09-10,2026,1,dst,MIA,,playoffs,4.0
2026-09-10,2026,1,dst,GB,,1,6.0
2026-09-10,2026,1,dst,GB,,2,7.4
2026-09-10,2026,1,dst,GB,,3,5.0
2026-09-10,2026,1,dst,GB,,4,3.9
2026-09-10,2026,1,dst,GB,,5,4.9
2026-09-10,2026,1,dst,GB,,6,4.2
2026-09-10,2026,1,dst,GB,,7,3.7
2026-09-10,2026,1,dst,GB,,8,5.7
2026-09-10,2026,1,dst,GB,,9,3.4
2026-09-10,2026,1,dst,GB,,10,6.2
2026-09-10,2026,1,dst,GB,,12,2.6
2026-09-10,2026,1,dst,GB,,13,4.6
2026-09-10,2026,1,dst,GB,,14,4.2
2026-09-10,2026,1,dst,GB,,15,7.0
2026-09-10,2026,1,dst,GB,,16,4.2
2026-09-10,2026,1,dst,GB,,17,6.6
2026-09-10,2026,1,dst,GB,,avg,5.0
2026-09-10,2026,1,dst,GB,,playoffs,5.9
2026-09-10,2026,1,dst,BUF,,1,6.0
2026-09-10,2026,1,dst,BUF,,2,4.8
2026-09-10,2026,1,dst,BUF,,3,5.7
2026-09-10,2026,1,dst,BUF,,4,4.5
2026-09-10,2026,1,dst,BUF,,5,3.1
2026-09-10,2026,1,dst,BUF,,6,8.0
2026-09-10,2026,1,dst,BUF,,8,5.5
2026-09-10,2026,1,dst,BUF,,9,7.2
2026-09-10,2026,1,dst,BUF,,10,7.4
2026-09-10,2026,1,dst,BUF,,11,8.1
2026-09-10,2026,1,dst,BUF,,12,4.8
2026-09-10,2026,1,dst,BUF,,13,3.6
2026-09-10,2026,1,dst,BUF,,14,5.5
2026-09-10,2026,1,dst,BUF,,15,5.4
2026-09-10,2026,1,dst,BUF,,16,3.4
2026-09-10,2026,1,dst,BUF,,17,6.9
2026-09-10,2026,1,dst,BUF,,avg,5.6
2026-09-10,2026,1,dst,BUF,,playoffs,5.3
2026-09-10,2026,1,dst,BAL,,1,5.9
2026-09-10,2026,1,dst,BAL,,2,6.5
2026-09-10,2026,1,dst,BAL,,3,3.7
2026-09-10,2026,1,dst,BAL,,4,8.1
2026-09-10,2026,1,dst,BAL,,5,5.0
2026-09-10,2026,1,dst,BAL,,6,7.5
2026-09-10,2026,1,dst,BAL,,7,3.9
2026-09-10,2026,1,dst,BAL,,8,3.5
2026-09-10,2026,1,dst,BAL,,9,4.7
2026-09-10,2026,1,dst,BAL,,10,6.8
2026-09-10,2026,1,dst,BAL,,11,6.8
2026-09-10,2026,1,dst,BAL,,12,4.6
2026-09-10,2026,1,dst,BAL,,14,5.5
2026-09-10,2026,1,dst,BAL,,15,6.2
2026-09-10,2026,1,dst,BAL,,16,7.3
2026-09-10,2026,1,dst,BAL,,17,3.5
2026-09-10,2026,1,dst,BAL,,avg,5.6
2026-09-10,2026,1,dst,BAL,,playoffs,5.7
2026-09-10,2026,1,dst,SEA,,1,5.8
2026-09-10,2026,1,dst,SEA,,2,8.1
2026-09-10,2026,1,dst,SEA,,3,5.4
2026-09-10,2026,1,dst,SEA,,4,5.9
2026-09-10,2026,1,dst,SEA,,5,4.7
2026-09-10,2026,1,dst,SEA,,6,3.0
2026-09-10,2026,1,dst,SEA,,7,4.9
2026-09-10,2026,1,dst,SEA,,8,6.7
2026-09-10,2026,1,dst,SEA,,9,8.5
2026-09-10,2026,1,dst,SEA,,10,7.9
2026-09-10,2026,1,dst,SEA,,12,4.2
2026-09-10,2026,1,dst,SEA,,13,6.1
2026-09-10,2026,1,dst,SEA,,14,5.5
2026-09-10,2026,1,dst,SEA,,15,5.3
2026-09-10,2026,1,dst,SEA,,16,3.1
2026-09-10,2026,1,dst,SEA,,17,6.1
2026-09-10,2026,1,dst,SEA,,avg,5.7
2026-09-10,2026,1,dst,SEA,,playoffs,4.8
2026-09-10,2026,1,dst,LA,,1,5.7
2026-09-10,2026,1,dst,LA,,2,6.6
2026-09-10,2026,1,dst,LA,,3,4.0
2026-09-10,2026,1,dst,LA,,4,6.1
2026-09-10,2026,1,dst,LA,,5,5.7
2026-09-10,2026,1,dst,LA,,6,8.2
2026-09-10,2026,1,dst,LA,,7,8.0
2026-09-10,2026,1,dst,LA,,8,5.8
2026-09-10,2026,1,dst,LA,,9,5.9
2026-09-10,2026,1,dst,LA,,10,7.8
2026-09-10,2026,1,dst,LA,,12,6.1
2026-09-10,2026,1,dst,LA,,13,4.4
2026-09-10,2026,1,dst,LA,,14,5.0
2026-09-10,2026,1,dst,LA,,15,5.2
2026-09-10,2026,1,dst,LA,,16,4.8
2026-09-10,2026,1,dst,LA,,17,5.4
2026-09-10,2026,1,dst,LA,,avg,5.9
2026-09-10,2026,1,dst,LA,,playoffs,5.1
2026-09-10,2026,1,dst,CIN,,1,5.7
2026-09-10,2026,1,dst,CIN,,2,4.0
2026-09-10,2026,1,dst,CIN,,3,7.2
2026-09-10,2026,1,dst,CIN,,4,5.9
2026-09-10,2026,1,dst,CIN,,5,8.2
2026-09-10,2026,1,dst,CIN,,7,5.5
2026-09-10,2026,1,dst,CIN,,8,8.1
2026-09-10,2026,1,dst,CIN,,9,6.6
2026-09-10,2026,1,dst,CIN,,10,7.3
2026-09-10,2026,1,dst,CIN,,11,7.2
2026-09-10,2026,1,dst,CIN,,12,6.7
2026-09-10,2026,1,dst,CIN,,13,7.6
2026-09-10,2026,1,dst,CIN,,14,5.2
2026-09-10,2026,1,dst,CIN,,15,6.5
2026-09-10,2026,1,dst,CIN,,16,4.8
2026-09-10,2026,1,dst,CIN,,17,4.7
2026-09-10,2026,1,dst,CIN,,avg,6.3
2026-09-10,2026,1,dst,CIN,,playoffs,5.3
2026-09-10,2026,1,dst,DET,,1,5.7
2026-09-10,2026,1,dst,DET,,2,2.4
2026-09-10,2026,1,dst,DET,,3,7.1
2026-09-10,2026,1,dst,DET,,4,6.0
2026-09-10,2026,1,dst,DET,,5,7.3
2026-09-10,2026,1,dst,DET,,7,4.8
2026-09-10,2026,1,dst,DET,,8,6.1
