name,position,team,age,years_exp,is_rookie,draft_round,exp_price,prior_ppg,prior_snap_pct,prior_target_share,vac_pc_targets,vac_rb_carries,ht_d_ppg,proj_pts,prob_raw,p_hit,young,player_id
Isaiah Likely,TE,BAL,26.0,4.0,0,4.0,1.0,5.141666666666667,0.5592857142857144,0.08845208845208845,,,1.756,56.366379310344826,0.01700360287601751,0.12776527357898507,0,00-0037838
Luke McCaffrey,WR,WAS,25.0,2.0,0,3.0,1.0,5.699999999999999,0.31666666666666665,0.034722222222222224,215.0,126.0,-2.179,62.010841121495325,0.01270497918629207,0.12310837078356444,1,00-0039355
Ted Hurst,WR,TB,22.0,0.0,1,3.0,0.0,,,,,,,48.86840723577793,0.025052813054789524,0.1223465575375012,1,HUR541377
Jeremy Ruckert,TE,NYJ,26.0,4.0,0,3.0,1.0,3.3500000000000005,0.47176470588235303,0.0614406779661017,114.0,16.0,-0.812,55.58120689655172,0.015602127660138675,0.12008542678639299,0,00-0037805
Dawson Knox,TE,BUF,30.0,7.0,0,3.0,1.0,6.48125,0.5829411764705883,0.1022964509394572,80.0,0.0,1.529,47.69051724137931,0.024863880654527337,0.11712679684265638,0,00-0035689
Bryce Lance,WR,NO,24.0,0.0,1,4.0,0.0,,,,,,,66.60362302433897,0.00925707820055498,0.11494949956218534,1,LAN016345
Jerome Ford,RB,CLE,27.0,4.0,0,5.0,1.0,3.353846153846154,0.3046153846153846,0.06130268199233716,,,1.2,43.7325,0.030723297463047666,0.11351760412137679,0,00-0037267
Emanuel Wilson,RB,GB,27.0,3.0,0,8.0,1.0,5.5588235294117645,0.31117647058823533,0.03695652173913044,,,-0.042,72.77999999999999,0.006529224022842719,0.10862789801082803,0,00-0038797
Jaylen Wright,RB,MIA,23.0,2.0,0,4.0,1.0,5.355555555555556,0.215,0.01948051948051948,234.0,0.0,-1.988,60.2775,0.011152677021610893,0.10862789801082795,1,00-0039874
Josh Oliver,TE,MIN,29.0,7.0,0,3.0,1.0,4.583333333333333,0.458,0.0405982905982906,59.0,17.0,-3.367,48.82862068965517,0.019163768379253047,0.10726520526640146,0,00-0035249
Adam Trautman,TE,DEN,29.0,6.0,0,3.0,1.0,3.5,0.5729411764705883,0.039383561643835614,0.0,0.0,-1.512,45.42068965517241,0.022686446399300293,0.10625307723533342,0,00-0036422
Brenen Thompson,WR,LAC,23.0,0.0,1,4.0,0.0,,,,,,,59.84998753659962,0.010618181486183471,0.10458489362734587,1,THO495568
Zavion Thomas,WR,CHI,21.0,0.0,1,3.0,0.0,,,,,,,50.258314545244446,0.013899140604406097,0.10196390728604442,1,THO417520
Dont'e Thornton Jr.,WR,LV,24.0,1.0,0,4.0,1.0,2.1363636363636362,0.45333333333333337,0.06072874493927125,58.0,34.0,,52.51481308411215,0.012311357869999498,0.09876967897291211,1,00-0040581
Calvin Ridley,WR,TEN,32.0,8.0,0,1.0,0.0,6.757142857142857,0.5714285714285714,0.06792452830188679,143.0,0.0,3.221,65.96817757009346,0.006969850378741769,0.09751712422343915,0,00-0034837
Chris Rodriguez Jr.,RB,WAS,27.0,3.0,0,6.0,1.0,7.666666666666667,0.31230769230769234,0.009259259259259259,,,-0.817,40.60874999999999,0.026270336671792887,0.09566485672874547,0,00-0038611
Chris Bell,WR,MIA,22.0,0.0,1,3.0,0.0,,,,,,,47.934284682494244,0.014910730290252345,0.09444754966744633,1,BEL267684
DeAndre Hopkins,WR,BAL,34.0,13.0,0,1.0,1.0,3.9411764705882355,0.33000000000000007,0.09582309582309582,,,0.425,60.570794392523354,0.008100937183268325,0.09324413535022466,0,00-0030564
Jaleel McLaughlin,RB,DEN,26.0,3.0,0,8.0,1.0,3.9250000000000003,0.16,0.010273972602739725,0.0,0.0,-0.94,36.308749999999996,0.03975738202306757,0.09029560563150313,0,00-0038794
Kaden Wetjen,WR,PIT,24.0,0.0,1,4.0,0.0,,,,,,,54.324975166599074,0.00925707820055498,0.0891398862249295,1,WET055619
Jackson Hawes,TE,BUF,26.0,1.0,0,5.0,1.0,4.053846153846154,0.43882352941176483,0.03966597077244259,80.0,0.0,,45.42068965517241,0.01526775201995039,0.08885304871522895,1,00-0040194
Riley Nowakowski,TE,PIT,24.0,0.0,1,5.0,0.0,,,,,,,48.70742136192156,0.012516952525861996,0.08686841390856746,1,NOW373761
Jeremy McNichols,RB,WAS,31.0,9.0,0,5.0,1.0,4.54375,0.31941176470588234,0.07175925925925926,215.0,126.0,-1.323,38.37375,0.02535480475640521,0.08686841390856746,0,00-0033955
Kevin Coleman Jr.,WR,MIA,22.0,0.0,1,5.0,0.0,,,,,,,57.91700173806608,0.007998701578375256,0.08630878619160084,1,COL362413
Jonah Coleman,RB,DEN,23.0,0.0,1,4.0,0.0,,,,,,,45.93920822200951,0.013768223549877662,0.08630878619160084,1,COL293648
Kendre Miller,RB,NO,24.0,3.0,0,3.0,0.0,4.757142857142857,0.24285714285714288,0.008849557522123894,51.0,21.0,1.8,35.1225,0.03643619385485748,0.08519931611018712,0,00-0038551
Emari Demercado,RB,ARI,27.0,3.0,0,8.0,1.0,4.858333333333333,0.2323076923076923,0.03241491085899514,,,-1.889,40.301249999999996,0.02196774037672668,0.08410279512366808,0,00-0038705
Skyler Bell,WR,BUF,24.0,0.0,1,4.0,0.0,,,,,,,51.50866814880365,0.00925707820055498,0.08410279512366803,1,BEL597603
Tanner Koziol,TE,JAX,,0.0,1,5.0,0.0,,,,,,,58.265917852306266,0.007392988800472614,0.08301910573099432,1,KOZ404039
John Metchie III,WR,NYJ,26.0,4.0,0,2.0,1.0,5.5307692307692315,0.46125,0.10344827586206896,,,4.295,42.82144859813084,0.015986655285938674,0.0822146888445496,0,00-0037614
Adam Thielen,WR,PIT,36.0,13.0,0,8.0,1.0,2.8285714285714287,0.394375,0.07478632478632478,,,8.071,62.0014953271028,0.005795337361631459,0.08194813062537812,0,00-0030035
Dyami Brown,WR,JAX,27.0,5.0,0,3.0,1.0,4.5181818181818185,0.3664285714285714,0.06764168190127971,,,1.129,45.781448598130844,0.012538288125904802,0.08088975272009591,0,00-0036626
Marquise Brown,WR,KC,29.0,7.0,0,1.0,1.0,8.60625,0.5349999999999999,0.13479052823315119,,,9.05,37.82644859813084,0.02243256755341763,0.08036525119433216,0,00-0035662
Jawhar Jordan,RB,HOU,27.0,2.0,0,6.0,0.0,7.425000000000001,0.3,0.012658227848101266,66.0,133.0,,30.206249999999997,0.05857591611911136,0.07984385517353587,1,00-0039405
Max Bredeson,TE,MIN,23.0,0.0,1,5.0,0.0,,,,,,,47.84543798083208,0.01085021778486361,0.07932555009479113,1,BRE060106
Elijah Moore,WR,BUF,26.0,5.0,0,2.0,1.0,3.177777777777778,0.31444444444444447,0.03549060542797495,,,1.442,38.04742990654206,0.020969882144447182,0.0782981546040961,0,00-0036980
KaVontae Turpin,WR,DAL,30.0,7.0,0,8.0,1.0,5.633333333333334,0.35466666666666663,0.06260296540362438,34.0,20.0,0.682,51.74411214953271,0.007892156153981431,0.07677988045192796,0,00-0037801
Greg Dulcich,TE,MIA,26.0,4.0,0,3.0,1.0,6.977777777777778,0.422,0.07142857142857142,234.0,0.0,,26.9803448275862,0.0692968133349864,0.07627981627972305,0,00-0037252
Theo Wease Jr.,WR,MIA,25.0,1.0,0,8.0,0.0,8.633333333333333,0.3233333333333333,0.021645021645021644,234.0,0.0,,31.658831775700936,0.04029825848078711,0.07578274166152588,1,00-0040311
Isaiah Williams,WR,NYJ,25.0,2.0,0,8.0,1.0,4.046666666666667,0.36133333333333334,0.07627118644067797,114.0,16.0,-1.3,50.19546728971963,0.008538813957879941,0.07578274166152588,1,00-0039451
Jahan Dotson,WR,PHI,26.0,4.0,0,1.0,1.0,3.3466666666666667,0.5688235294117647,0.07758620689655173,,,1.586,39.072757009345786,0.01738697935749593,0.07578274166152588,0,00-0037741
Justin Joly,TE,DEN,22.0,0.0,1,5.0,0.0,,,,,,,45.61810018016854,0.010976461072669544,0.07479750352344924,1,JOL735174
Braelon Allen,RB,NYJ,22.0,2.0,0,4.0,0.0,3.825,0.2325,0.006355932203389831,114.0,16.0,-2.1,44.572500000000005,0.011834407409414877,0.07310162739592622,1,00-0039794
Luke Musgrave,TE,GB,26.0,3.0,0,2.0,1.0,3.784615384615385,0.40058823529411763,0.06739130434782609,153.0,125.0,-0.367,46.09379310344828,0.009768515928278534,0.0723857205820165,0,00-0039144
Elijah Higgins,TE,ARI,26.0,3.0,0,6.0,1.0,3.4176470588235297,0.4252941176470588,0.059967585089141004,68.0,136.0,-1.328,49.9655172413793,0.007877031735558955,0.07191204618275683,0,00-0039041
Zavier Scott,RB,MIN,27.0,3.0,0,8.0,1.0,3.563636363636364,0.10187500000000001,0.03418803418803419,59.0,17.0,,30.40875,0.038332875080907804,0.07144123267277575,0,00-0038440
Raheim Sanders,RB,CLE,24.0,1.0,0,8.0,0.0,5.075,0.2575,0.007662835249042145,53.0,34.0,,29.535,0.04229422587225516,0.07097326589089407,1,00-0040466
Jaret Patterson,RB,LAC,27.0,5.0,0,8.0,0.0,4.283333333333333,0.28,0.007352941176470588,152.0,32.0,,36.857499999999995,0.0195476569713229,0.07050813170499932,0,00-0036755
Cyrus Allen,WR,KC,23.0,0.0,1,5.0,0.0,,,,,,,47.07177180221771,0.008095502529957664,0.06644707411724733,1,ALL092954
Kendrick Law,WR,DET,23.0,0.0,1,5.0,0.0,,,,,,,43.11379808622141,0.00957075580634491,0.0642858353114221,1,LAW090280
Jordan Whittington,WR,LA,26.0,2.0,0,6.0,1.0,2.42,0.4082352941176471,0.043029259896729774,15.0,0.0,-6.02,55.240794392523355,0.004712529265396778,0.06386151554245385,1,00-0039751
Reggie Virgil,WR,ARI,22.0,0.0,1,5.0,0.0,,,,,,,44.92458704416039,0.00869945713533314,0.06302069497711386,1,VIR271235
Jaydon Blue,RB,DAL,22.0,1.0,0,5.0,0.0,4.08,0.25599999999999995,0.0016474464579901153,34.0,20.0,,36.8125,0.015472487675305267,0.06260416709134332,1,00-0040586
Adam Randall,RB,BAL,22.0,0.0,1,5.0,0.0,,,,,,,36.869266874423374,0.014475390441073023,0.06177880867224992,1,RAN022436
Kevin Austin Jr.,WR,NO,26.0,4.0,0,8.0,0.0,6.6,0.4425,0.04070796460176991,51.0,21.0,3.375,42.50149532710281,0.008613331727899003,0.0578024944571113,0,00-0037231
Seydou Traore,TE,MIA,,0.0,1,5.0,0.0,,,,,,,46.39857093793197,0.006001687807300857,0.0566572201387264,1,TRA291459
Olamide Zaccheaus,WR,CHI,29.0,7.0,0,8.0,1.0,6.057142857142858,0.5362499999999999,0.12218045112781954,,,3.45,48.031775700934574,0.0056690394681174535,0.0566572201387264,0,00-0035208
Mitchell Tinsley,WR,CIN,27.0,3.0,0,8.0,1.0,3.95,0.24647058823529414,0.039473684210526314,41.0,0.0,,35.9711214953271,0.01359034488591877,0.05628022461545801,0,00-0038839
Jimmy Horn Jr.,WR,CAR,24.0,1.0,0,6.0,1.0,2.87,0.19230769230769235,0.03125,26.0,236.0,,39.988785046728964,0.009563115970790488,0.05590558894664954,1,00-0040218
Josh Cuevas,TE,BAL,22.0,0.0,1,5.0,0.0,,,,,,,38.4142572699532,0.009910131948211647,0.055163346023251146,1,CUE040912
Savion Williams,WR,GB,25.0,1.0,0,3.0,1.0,2.125,0.11500000000000003,0.021739130434782608,153.0,125.0,,34.287757009345796,0.01381627254584232,0.05334814560948208,1,00-0040009
Miles Sanders,RB,DAL,29.0,7.0,0,2.0,0.0,6.675000000000001,0.215,0.013179571663920923,,,7.972,44.943749999999994,0.0060853916371066494,0.05334814560948204,0,00-0035243
Austin Hooper,TE,NE,32.0,10.0,0,3.0,1.0,4.561538461538461,0.5,0.05394190871369295,,,5.396,35.03724137931034,0.012395139155608107,0.051244308354006105,0,00-0032392
Daniel Bellinger,TE,NYG,26.0,4.0,0,4.0,1.0,4.584615384615384,0.49937499999999996,0.05168986083499006,,,1.694,38.32275862068965,0.008931372252052306,0.05124430835400608,0,00-0038115
Kaleb Johnson,RB,PIT,23.0,1.0,0,3.0,0.0,0.8800000000000001,0.09100000000000001,0.0038314176245210726,191.0,114.0,,44.572500000000005,0.005683271270896066,0.05005356090670264,1,00-0040142
Konata Mumpfield,WR,LA,24.0,1.0,0,7.0,1.0,2.5200000000000005,0.32176470588235295,0.039586919104991396,15.0,0.0,,36.83177570093458,0.00995160205027438,0.04988560846675644,1,00-0040590
Trevor Etienne,RB,CAR,22.0,1.0,0,4.0,1.0,0.8058823529411765,0.05588235294117648,0.00625,26.0,236.0,,47.00375,0.004423055431250746,0.04888905669852228,1,00-0040644
Seth McGowan,RB,IND,24.0,0.0,1,7.0,0.0,,,,,,,52.695950526105285,0.002553440832075411,0.04856108947630848,1,MCG547540
Antonio Gibson,RB,NE,28.0,6.0,0,3.0,0.0,4.640000000000001,0.16599999999999998,0.006224066390041493,,,1.162,40.561249999999994,0.007192389574420749,0.0479114088914523,0,00-0036328
