feature,importance
team_rush_att_prior,738
team_pos_ppg_prior,729
team_pass_att_prior,712
weight,695
team_off_ppg_prior,665
draft_pick,662
forty,425
vertical,371
height,327
broad_jump,314
shuttle,231
cone,216
bench,190
age,189
pos_id,130
draft_round,56
