feature,importance
roll_offpct,1504
roll_opp,1503
implied_team_total,1211
roll_xfp,1029
ix_itt_x_offpct,1028
team_spread,977
roll_luck,925
roll_ppr,835
roll_targets,745
game_total,693
pos_id,657
ix_total_x_ppr,642
ix_qb_x_total,248
is_qb,3
