feature,importance
roll_luck,1123
roll_xfp_std,1036
roll_xfp,933
ix_itt_x_opp,932
roll_std,904
team_spread,844
cv,825
ix_gshigh_x_ppr,768
roll_mean,765
ix_total_x_std,693
roll_opp,692
implied_team_total,620
game_total,586
own_off_tier,283
gs_high,260
pos_id,257
gs_blowout,242
opp_def_tier,217
is_qb,20
gs_lowscore,0
