feature,importance
roll_luck,1281
roll_xfp_std,1218
roll_xfp,1095
roll_mean,1061
ix_itt_x_opp,1026
roll_std,1004
cv,955
team_spread,886
ix_total_x_std,849
implied_team_total,813
roll_opp,768
game_total,762
pos_id,258
is_qb,24
