player_id,player_display_name,position,team,prior_ppg,pred_ppg,proj_games,proj_total_pred,finish_pred,vbd_pred
00-0036900,Ja'Marr Chase,WR,CIN,19.6,19.07014620026074,13.4875,257.20859687601677,2.0,128.87646560310824
00-0038543,Jaxon Smith-Njigba,WR,SEA,21.170588235294115,18.41561644281454,14.037500000000001,258.5092158160091,1.0,124.94389290639258
00-0039075,Puka Nacua,WR,LA,23.4375,18.776449852574682,13.4875,253.24736738660104,3.0,124.91523611369254
00-0036963,Amon-Ra St. Brown,WR,DET,19.058823529411764,18.004058218811156,14.037500000000001,252.73196724656162,4.0,119.16664433694508
00-0038542,Bijan Robinson,RB,ATL,21.811764705882354,19.255311063306475,14.052649006622518,270.58812788598135,1.0,117.86862975865006
00-0033280,Christian McCaffrey,RB,SF,24.50588235294118,18.51195988873058,14.052649006622518,260.1420747410057,2.0,107.42257661367441
00-0039139,Jahmyr Gibbs,RB,DET,21.58235294117647,18.2083259279917,14.052649006622518,255.87521326425164,3.0,103.15571513692035
00-0036223,Jonathan Taylor,RB,IND,21.311764705882354,17.35529293674088,14.052649006622518,243.88784004713455,4.0,91.16834191980327
00-0037247,George Pickens,WR,DAL,17.170588235294115,15.503871373345657,14.037500000000001,217.63559440333967,5.0,84.07027149372314
00-0039040,De'Von Achane,RB,MIA,20.175,16.919059637713627,13.502649006622518,228.45212381016103,5.0,81.70984207316641
00-0037744,Trey McBride,TE,ARI,18.58235294117647,14.981230263846294,13.592391304347828,203.63074396673687,1.0,73.616968061928
00-0037248,James Cook,RB,BUF,17.7764705882353,15.919727435051593,14.052649006622518,223.714341925879,6.0,70.99484379854775
00-0032764,Derrick Henry,RB,BAL,16.441176470588236,15.831376837109607,14.052649006622518,222.47278198347507,7.0,69.7532838561438
00-0037239,Chris Olave,WR,NO,16.75,14.402723236752141,13.4875,194.25672965569453,9.0,65.92459838278602
00-0037238,Drake London,WR,ATL,16.825,15.349858252738775,11.287500000000001,173.26152502778893,17.0,65.86216030171259
00-0037240,Jameson Williams,WR,DET,12.935294117647059,14.134833522890515,14.037500000000001,198.41772557757562,6.0,64.85240266795908
00-0036322,Justin Jefferson,WR,MIN,11.852941176470589,13.939331479708263,14.037500000000001,195.67336564640476,7.0,62.10804273678822
