pos,player,2023,2024,2025,2023_keeper,2024_keeper,2025_keeper
WR,Darnell Mooney,5,1,1,,,
WR,Marvin Mims Jr.,5,,1,,,
RB,Samaje Perine,5,,,,,
RB,Jaylen Warren,2,2,5,,,
RB,Jamaal Williams,5,,,,,
RB,Tyjae Spears,1,5,,,,
DST,Jets D/ST,1,5,,,,
RB,Devin Singletary,1,5,,,,
QB,Jayden Daniels,,5,5,,,k
QB,Kyle McCord,,,5,,,
WR,Chris Godwin Jr.,,,5,,,
K,Harrison Butker,2,4,1,,,
RB,AJ Dillon,4,,,,,
RB,Tank Bigsby,4,,1,,,
WR,Gabe Davis,4,,,,,
RB,Rashaad Penny,4,,,,,
RB,Roschon Johnson,4,,,,,
WR,Michael Thomas,4,,,,,
QB,Brock Purdy,4,3,3,,,
QB,C.J. Stroud,,4,1,,k,
WR,Tank Dell,,4,,,k,
WR,Ladd McConkey,,4,4,,,k
WR,Jayden Higgins,,,4,,,
K,Justin Tucker,3,1,,,,
WR,Treylon Burks,3,,,,,
DST,Steelers D/ST,1,2,3,,,
K,Jake Elliott,1,3,1,,,
QB,Aaron Rodgers,2,3,,,,
QB,Tua Tagovailoa,1,3,2,,,
DST,Ravens D/ST,1,3,2,,,
TE,Tyler Higbee,3,,,,,
WR,Kadarius Toney,3,,,,,
WR,Odell Beckham Jr.,3,,,,,
WR,Jameson Williams,1,3,3,,,k
K,Brandon Aubrey,,3,3,,,
WR,Demarcus Robinson,,3,,,,
RB,Trey Benson,,3,1,,,
TE,Ben Sinnott,,3,,,,
WR,Xavier Restrepo,,,3,,,
DST,Broncos D/ST,,,3,,,
RB,Cam Skattebo,,,3,,,
RB,Ollie Gordon II,,,3,,,
DST,Eagles D/ST,2,,2,,,
DST,49ers D/ST,2,1,1,,,
K,Daniel Carlson,2,,,,,
TE,Pat Freiermuth,1,2,,,,
K,Greg Zuerlein,1,2,,,,
WR,Jalin Hyatt,2,,,,,
DST,Bills D/ST,2,,1,,,
RB,Antonio Gibson,2,,,,,
TE,Cole Kmet,1,2,,,,
WR,Skyy Moore,2,,,,,
WR,Marquise Brown,2,,,,,
RB,Jerick McKinnon,2,,,,,
WR,Elijah Moore,2,,,,,
WR,JuJu Smith-Schuster,2,,,,,
RB,Elijah Mitchell,2,,,,,
TE,Dalton Schultz,1,2,,,,
WR,Allen Lazard,2,,,,,
WR,Jonathan Mingo,2,,,,,
RB,Deon Jackson,2,,,,,
WR,Romeo Doubs,2,,,,,
K,Younghoe Koo,1,2,,,,
RB,Ezekiel Elliott,1,2,,,,
DST,Bears D/ST,,2,,,,
K,Jake Moody,,2,,,,
DST,Texans D/ST,,2,1,,,
RB,Gus Edwards,,2,,,,
WR,Joshua Palmer,,2,1,,,
RB,Zack Moss,,2,,,,
K,Jake Bates,,,2,,,
K,Chris Boswell,,,2,,,
QB,J.J. McCarthy,,,2,,,
WR,Jauan Jennings,,,2,,,
RB,Jaydon Blue,,,2,,,
DST,Dolphins D/ST,1,1,,,,
DST,Commanders D/ST,1,,,,,
K,Evan McPherson,1,1,,,,
K,Tyler Bass,1,,1,,,
WR,Michael Wilson,1,,,,,
K,Jason Myers,1,1,,,,
DST,Patriots D/ST,1,,1,,,
DST,Saints D/ST,1,,,,,
QB,Daniel Jones,1,,,,,
K,Riley Patterson,1,,,,,
K,Brandon McManus,1,,1,,,
DST,Cowboys D/ST,1,1,,,,
QB,Geno Smith,1,1,,,,
K,Graham Gano,1,,,,,
DST,Browns D/ST,1,1,1,,,
TE,Juwan Johnson,1,1,,,,
QB,Kenny Pickett,1,,,,,
QB,Russell Wilson,1,,,,,
RB,Kenneth Gainwell,1,,,,,
RB,Deuce Vaughn,1,,,,,
TE,Gerald Everett,1,,,,,
QB,Matthew Stafford,1,1,,,,
WR,K.J. Osborn,1,,,,,
TE,Irv Smith Jr.,1,,,,,
TE,Dawson Knox,1,,,,,
TE,Chigoziem Okonkwo,1,,,,,
WR,Rondale Moore,1,,,,,
QB,Ryan Tannehill,1,,,,,
WR,Marquez Valdes-Scantling,1,,,,,
DST,Seahawks D/ST,1,,1,,,
WR,DJ Chark Jr.,1,,,,,
WR,Adam Thielen,1,,,,,
WR,Michael Gallup,1,,,,,
WR,Zay Jones,1,,,,,
RB,Jeff Wilson Jr.,1,,,,,
RB,Tyler Allgeier,1,1,1,,,
WR,Tyler Boyd,1,,,,,
WR,Mack Hollins,1,,,,,
K,Ka'imi Fairbairn,,1,,,,
DST,Chiefs D/ST,,1,,,,
RB,Jaleel McLaughlin,,1,,,,
K,Cairo Santos,,1,1,,,
DST,Colts D/ST,,1,,,,
DST,Bengals D/ST,,1,,,,
WR,Hollywood Brown,,1,,,,
WR,Malachi Corley,,1,,,,
RB,Jaylen Wright,,1,,,,
RB,Rico Dowdle,,1,,,,
RB,Bucky Irving,,1,1,,,k
WR,Adonai Mitchell,,1,,,,
WR,Rashod Bateman,,1,,,,
RB,Braelon Allen,,1,1,,,
WR,Curtis Samuel,,1,,,,
K,Harrison Mevis,,,1,,,
K,Chase McLaughlin,,,1,,,
DST,Lions D/ST,,,1,,,
DST,Vikings D/ST,,,1,,,
K,Cameron Dicker,,,1,,,
K,Matt Gay,,,1,,,
WR,Isaac TeSlaa,,,1,,,
QB,Drake Maye,,,1,,,
QB,Cam Ward,,,1,,,
WR,Josh Downs,,,1,,,
DST,Packers D/ST,,,1,,,
WR,Luther Burden III,,,1,,,
TE,Kyle Pitts Sr.,,,1,,,
RB,Quinshon Judkins,,,1,,,
RB,Bhayshul Tuten,,,1,,,
QB,Michael Penix Jr.,,,1,,,
WR,Rashid Shaheed,,,1,,,
RB,Kendre Miller,,,1,,,
WR,Xavier Legette,,,1,,,
WR,Tre' Harris,,,1,,,
WR,Cedric Tillman,,,1,,,
K,Tyler Loop,,,1,,,
TE,Tucker Kraft,,,0,,,k
RB,Tyrone Tracy Jr.,,,0,,,k
