season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2023,30,3,6,Team 2ITP 1ITS,ESPNFAN25233150,DeVonta Smith,WR,30,False
2023,31,3,7,Hand motion @ 6 inches,espn19238790,Deebo Samuel,WR,19,False
2023,32,3,8,Ugh...Yeah...What...Football!,kdoggs80,T.J. Hockenson,TE,24,False
2023,33,3,9,Etienne all the Capicola,CBPainTrain,Travis Etienne Jr.,RB,39,False
2023,34,3,10,3AM  No Limit,espn14211458,Jaylen Waddle,WR,34,False
2023,35,3,11,ILM Matt Ulrich aka Chest,espn98580191,DeAndre Hopkins,WR,12,False
2023,36,3,12,Team 2ITP 1ITS,ESPNFAN25233150,Jalen Hurts,QB,33,False
2023,37,4,1,Nacua please!!,silverandblack.27,Commanders D/ST,DST,1,False
2023,38,4,2,3AM  No Limit,espn14211458,Garrett Wilson,WR,42,False
2023,39,4,3,You gonna get Butkus'd,funblood,Justin Herbert,QB,18,False
2023,40,4,4,ILM Matt Ulrich aka Chest,espn98580191,Joe Mixon,RB,38,False
2023,41,4,5,ILM Matt Ulrich aka Chest,espn98580191,DK Metcalf,WR,26,False
2023,42,4,6,Team 2ITP 1ITS,ESPNFAN25233150,Diontae Johnson,WR,15,False
2023,43,4,7,Chasin' the Dream,RPT0777,Aaron Jones,RB,25,False
2023,44,4,8,3AM  No Limit,espn14211458,Jahmyr Gibbs,RB,32,False
2023,45,4,9,Rollin' with Ma-homes,eyedocjj,Anthony Richardson,QB,2,False
2023,46,4,10,Rollin' with Ma-homes,eyedocjj,Harrison Butker,K,2,False
2023,47,4,11,Rollin' with Ma-homes,eyedocjj,Kenneth Walker III,RB,13,False
2023,48,4,12,De'Von Corleone,BobbyeddyB,Evan McPherson,K,1,False
2023,49,5,1,Ugh...Yeah...What...Football!,kdoggs80,Alvin Kamara,RB,18,False
2023,50,5,2,Chasin' the Dream,RPT0777,Lamar Jackson,QB,31,False
2023,51,5,3,"Hahaha nice name, i got nothing",Rohabhabibo,Kyle Pitts,TE,7,False
2023,52,5,4,You gonna get Butkus'd,funblood,Rhamondre Stevenson,RB,26,False
2023,53,5,5,Rollin' with Ma-homes,eyedocjj,Isiah Pacheco,RB,9,False
