"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","CAR",7,362,33.2,5.64,320,415,267,274,284,1,2,1,1,"1",30,3.26,64.9,6,2
"Saquon Barkley","RB","NYG",11,356,21.2,30.5,327,389,261,282,257,2,1,2,2,"2",29,1.31,67.9,1,1
"Alvin Kamara","RB","NO",9,326,21,8.57,286,349,231,240,217,3,3,4,3,"2",30,2.74,65.8,1,2
"Ezekiel Elliott","RB","DAL",8,317,29.8,35.6,269,356,222,224,225,4,4,3,4,"3",30,5.52,58.8,19,3
"Dalvin Cook","RB","MIN",12,281,24.4,13,256,322,187,210,191,5,7,5,5,"3",30,16.8,41,3,2
"Michael Thomas","WR","NO",9,310,24.9,5.17,275,343,186,211,177,6,6,6,1,"1",31,13.7,49.9,12,3
"Davante Adams","WR","GB",11,305,12.3,2.8,281,318,181,218,151,7,5,20,2,"1",33,9.5,52.8,1,5
"Julio Jones","WR","ATL",9,302,22.4,1.25,265,331,178,202,164,8,9,10,3,"1",37,11.6,51.2,8,8
"DeAndre Hopkins","WR","HOU",10,301,23,20.4,266,326,177,203,160,9,8,13,4,"2",34,6.1,56.2,6,6
"DeAndre Hopkins","WR","ARI",12,301,23,20.4,266,326,177,203,160,9,8,13,4,"2",34,6.1,56.2,6,6
"LeVeon Bell","RB","NYJ",4,268,31.4,8.87,212,303,174,166,171,10,19,7,6,"4",33,8.58,52.2,15,6
"Todd Gurley","RB","LAR",9,260,26.2,3.07,218,292,165,173,161,11,15,12,7,"4",31,14.7,43.6,10,4
"Todd Gurley","RB","ATL",9,260,26.2,3.07,218,292,165,173,161,11,15,12,7,"4",31,14.7,43.6,10,4
"David Johnson","RB","ARI",12,256,29.8,1.6,207,286,162,161,154,12,22,17,8,"4",34,7.36,52.2,7,4
"David Johnson","RB","HOU",10,256,29.8,1.6,207,286,162,161,154,12,22,17,8,"4",34,7.36,52.2,7,4
"Joe Mixon","RB","CIN",9,255,17.6,2.89,235,288,160,189,157,13,12,15,9,"4",29,17.3,44.2,2,2
"James Conner","RB","PIT",7,252,33.6,3.53,200,288,157,155,156,14,26,16,10,"4",31,10.9,49.7,20,2
"JuJu Smith-Schuster","WR","PIT",7,280,30.4,4.89,241,308,157,178,142,16,14,26,5,"2",29,16.6,45.1,20,2
"Travis Kelce","TE","KC",12,277,12.9,27.5,259,293,157,194,138,15,10,28,1,"1",36,15.8,41.5,1,6
"Patrick Mahomes","QB","KC",12,447,33.3,55.8,416,513,156,189,153,17,11,19,1,"1",30,18.5,30.1,1,2
"Nick Chubb","RB","CLE",7,248,23.9,5.43,214,282,154,168,151,18,18,22,11,"5",30,12.2,46.2,5,1
"Antonio Brown","WR","OAK",6,275,21.4,2.53,245,296,152,182,129,19,13,31,6,"2",38,22.7,37.9,14,9
"Antonio Brown","WR","FA",NA,275,21.4,2.53,245,296,152,182,129,19,13,31,6,"2",38,22.7,37.9,14,9
"Tyreek Hill","WR","KC",12,273,37.3,8.17,193,309,149,129,143,20,35,24,7,"2",32,18.4,32.3,31,3
"Aaron Jones","RB","GB",11,243,29.2,5.05,205,296,148,159,165,21,25,9,12,"5",31,32.5,24.2,22,2
"Leonard Fournette","RB","JAC",10,238,28.7,3.02,199,277,143,153,146,22,28,23,13,"5",30,28.8,28.4,18,2
"Mike Evans","WR","TB",7,265,16.8,0.0726,232,281,141,169,115,23,17,35,8,"2",32,22.5,36.9,1,5
"Odell Beckham","WR","CLE",7,264,24.2,7.43,233,296,141,170,130,24,16,30,9,"3",33,14.5,47.4,13,5
"Derrick Henry","RB","TEN",11,235,33.9,8.67,184,285,140,138,154,25,32,18,14,"5",32,38.3,19.8,26,3
"Keenan Allen","WR","LAC",12,257,16.2,4.74,230,274,134,166,108,26,20,43,10,"3",34,28.8,30.7,2,6
