"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Christian McCaffrey","RB","SF",9,353,20.3,43.8,331,385,268,269,268,1,1,1,1,"1",30,1.36,69.7,1,7
"Breece Hall","RB","NYJ",12,309,30.6,6.13,280,355,224,218,239,2,3,2,2,"1",25,4.98,57.2,49,2
"CeeDee Lamb","WR","DAL",7,348,27.4,13.5,321,401,220,223,230,3,2,3,1,"1",27,3.88,59.8,39,4
"Bijan Robinson","RB","ATL",12,303,28.6,27.5,269,337,218,207,220,4,4,4,3,"2",24,5.19,59,39,1
"Tyreek Hill","WR","MIA",6,334,24.1,21.6,301,380,206,204,209,5,5,6,2,"2",32,4.02,62.1,24,8
"Saquon Barkley","RB","PHI",5,276,35.3,7.02,238,325,190,177,208,6,10,7,4,"3",29,10.6,49.3,74,6
"Amon-Ra St. Brown","WR","DET",5,313,31.9,4.98,280,375,185,183,204,7,8,8,3,"2",26,7.5,54.6,56,3
"Jonathan Taylor","RB","IND",14,269,20.6,5.12,242,298,183,180,182,8,9,12,5,"3",27,10.2,50.2,7,4
"Justin Jefferson","WR","MIN",6,308,29.5,0.715,283,364,180,186,192,9,6,10,4,"2",27,8.64,54.4,47,4
"Ja'Marr Chase","WR","CIN",12,307,29.8,20.3,283,368,179,186,197,10,7,9,5,"3",26,7.92,53.4,48,3
"Jahmyr Gibbs","RB","DET",5,264,35.7,9.49,227,327,178,165,211,11,11,5,6,"3",24,15.2,42.7,72,1
"Kyren Williams","RB","LAR",6,254,28.5,5.4,225,305,169,163,188,12,14,11,7,"4",25,16.7,40.6,65,2
"Travis Etienne","RB","JAC",12,249,21.8,5.87,223,285,163,162,168,13,15,14,8,"4",27,19.7,37.2,19,3
"Puka Nacua","WR","LAR",6,287,23.7,2.52,262,322,159,165,150,14,12,19,6,"3",25,16.4,40.2,41,1
"Josh Jacobs","RB","GB",10,243,26.5,0.815,217,286,157,155,169,15,17,13,9,"4",28,29.2,31.1,57,5
"Rachaad White","RB","TB",11,242,19.2,1.37,220,270,157,158,153,16,16,18,10,"4",27,32.3,24.6,22,2
"A.J. Brown","WR","PHI",5,284,22.4,12.4,261,327,156,163,155,17,13,17,7,"4",29,12.1,48.5,15,5
"Alvin Kamara","RB","NO",12,241,17.5,1.2,209,262,155,147,145,18,20,21,11,"4",30,44.6,23.6,29,7
"Isiah Pacheco","RB","KC",6,240,18,4.12,216,265,154,154,149,19,18,20,12,"4",27,19.9,37,10,2
"Devon Achane","RB","MIA",6,235,29.3,0.792,201,284,150,139,167,20,24,15,13,"4",24,26.5,28.5,67,1
"James Cook","RB","BUF",12,235,25.8,4.23,203,273,149,141,157,21,22,16,14,"5",26,32.7,25.2,54,2
"Derrick Henry","RB","BAL",14,230,21.7,1.43,188,255,145,126,138,22,32,22,15,"5",32,16.6,43.5,33,8
"Garrett Wilson","WR","NYJ",12,272,21.8,15.3,248,308,144,151,137,23,19,24,8,"4",25,15.7,44.6,17,2
"Joe Mixon","RB","HOU",14,229,17.9,5.31,201,248,143,140,132,24,23,26,16,"5",29,36.5,26.8,3,7
