"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Blake Grupe","K","IND",13,145,14.8,0.418,134,169,0,3.47,8.92,194,179,164,13,"2",27,159,1.01,81,3
"Samaje Perine","RB","CIN",6,79.6,13.5,0.762,68.8,96,-0.338,7.96,-10.5,195,171,239,57,"17",30,186,1.48,85,9
"Lions","DST","DET",6,51.5,7.54,0.546,44.7,63.3,-0.341,0,4.04,196,194,177,14,"9",NA,160,1.42,42,NA
"Cairo Santos","K","CHI",10,145,14,1.59,126,163,-0.418,-4.2,3.04,197,203,179,14,"2",34,186,2.06,39,12
"Cooper Kupp","WR","SEA",11,114,21.9,2.61,96.8,147,-0.451,12.7,-3.5,198,155,215,72,"11",33,183,3.08,66,9
"Falcons","DST","ATL",11,51,6.65,0.555,45.1,60,-0.887,0.393,0.691,199,193,192,15,"10",NA,159,0,58,NA
"Antonio Gibson","RB","FA",NA,78.8,NA,0.268,NA,NA,-1.1,NA,NA,200,NA,NA,58,"17",56,NA,NA,81,6
"Malik Willis","QB","MIA",6,318,30.9,22.7,277,352,-1.34,-10.8,-16.9,201,223,256,24,"5",27,144,4.46,94,4
"Braelon Allen","RB","NYJ",13,78.5,22.5,0.0319,59.1,114,-1.37,-1.72,7.94,202,197,166,59,"17",22,176,1.93,78,2
"Kareem Hunt","RB","FA",NA,78.5,NA,1.66,NA,NA,-1.4,NA,NA,203,NA,NA,60,"17",31,204,NA,88,9
"Titans","DST","TEN",9,50.4,8.88,0.407,36.9,57.9,-1.44,-7.83,-1.36,204,216,202,16,"10",NA,192,0,71,NA
"Ravens","DST","BAL",13,50,6.05,0.28,41.8,55.9,-1.85,-2.88,-3.42,205,202,214,17,"10",NA,153,1.11,35,NA
"Eddy Pineiro","K","SF",8,143,15.1,6.09,118,151,-2.01,-12.5,-8.75,206,230,235,15,"3",30,171,1.56,55,8
"Commanders","DST","WAS",7,49.8,10.7,1.14,36.5,62.3,-2.13,-8.25,3.04,207,217,180,18,"11",NA,170,0,84,NA
"Greg Dulcich","TE","MIA",6,133,9.59,1.31,119,144,-2.86,0,-16.9,208,194,255,24,"6",26,173,2.19,45,4
"Tank Bigsby","RB","PHI",10,76.8,16.6,0.906,60.8,99.2,-3.06,0,-7.26,209,194,231,61,"18",23,157,3.31,49,3
"Tre Harris","WR","LAC",7,111,37.6,0.0694,85.3,164,-3.06,1.21,13,210,189,155,73,"11",24,184,1.58,78,1
"Kayshon Boutte","WR","NE",11,111,44.2,0.334,70.6,177,-3.13,-13.5,26,211,232,135,74,"11",24,178,1.72,86,3
"Bears","DST","CHI",10,48.6,7.72,0.0797,38.4,56.3,-3.27,-6.3,-2.95,212,210,212,19,"11",NA,180,0.1,74,NA
"Giants","DST","NYG",8,48.5,8.75,0.639,37,58.4,-3.35,-7.69,-0.912,213,215,200,20,"12",NA,168,0.833,65,NA
"Travis Hunter","WR","JAC",7,111,22.4,2.16,86.1,138,-3.46,1.96,-13,214,186,243,75,"11",23,150,1.88,71,1
"Keaton Mitchell","RB","LAC",7,75.9,16.1,1.99,53.5,91.7,-3.96,-7.35,-14.7,215,214,249,62,"18",24,150,2.73,63,3
"Bengals","DST","CIN",6,47.9,7.36,0.59,39.3,55.4,-3.99,-5.45,-3.89,216,206,217,21,"13",NA,170,0,90,NA
"Cade Otton","TE","TB",10,132,24.6,7.56,102,161,-4.18,-16.6,-0.217,217,238,195,25,"7",27,198,2.03,59,4
"Packers","DST","GB",11,47.3,8.93,0.849,37.7,56.4,-4.58,-7.04,-2.92,218,212,211,22,"14",NA,165,0.903,52,NA
"Buccaneers","DST","TB",10,46.5,7.86,0.524,39.1,57.5,-5.43,-5.62,-1.74,219,208,204,23,"14",NA,170,0.1,61,NA
"Devaughn Vele","WR","NO",8,109,35.7,0.819,65.2,149,-5.63,-18.9,-1.31,220,245,201,76,"11",28,228,1.24,81,2
"Mike Washington Jr.","RB","LVR",13,73.9,19,2.55,55.1,101,-5.95,-5.76,-5.84,221,209,226,63,"18",23,160,3.73,79,0
"Chiefs","DST","KC",5,45.9,6.07,0.0679,37.8,50.5,-5.95,-6.9,-8.8,222,211,236,24,"15",NA,168,1.1,23,NA
"Jets","DST","NYJ",13,45.9,11.3,0.055,29.4,55.3,-6.02,-15.3,-3.95,223,235,218,25,"15",NA,170,0,87,NA
"Cowboys","DST","DAL",14,45.8,10.3,0.622,33.4,57.1,-6.07,-11.3,-2.15,224,226,206,26,"15",NA,182,0.1,99,NA
"Jalen Tolbert","WR","MIA",6,108,36.7,1.38,84.1,160,-6.44,-0.04,9.44,225,195,162,77,"11",27,209,1.71,92,4
"Panthers","DST","CAR",5,45.2,7.18,0.165,35,53.1,-6.69,-9.68,-6.15,226,219,227,27,"16",NA,170,0.1,45,NA
"Cardinals","DST","ARI",14,45,11.1,0.172,33.6,60.5,-6.86,-11.1,1.24,227,225,189,28,"16",NA,170,0,29,NA
"Colts","DST","IND",13,44.9,8.01,1.17,34.7,55,-7.03,-9.97,-4.31,228,221,221,29,"17",NA,170,0,48,NA
"Bub Means","WR","NO",8,106,NA,2.38,NA,NA,-7.83,NA,NA,229,NA,NA,78,"11",25,NA,NA,99,2
"Andres Borregales","K","NE",11,137,9.14,0.214,125,149,-8.1,-5.35,-11.5,230,205,240,16,"3",23,196,1.67,42,1
"Raiders","DST","LVR",13,43.7,9.96,0.344,32,55.4,-8.2,-12.7,-3.88,231,231,216,30,"18",NA,170,0,81,NA
"Nick Folk","K","ATL",11,137,22.7,0.409,113,171,-8.32,-17.1,10.5,232,241,159,17,"3",41,158,0,94,19
"Nick Chubb","RB","FA",NA,71.4,NA,1.03,NA,NA,-8.5,NA,NA,233,NA,NA,64,"18",30,NA,NA,93,8
"Dolphins","DST","MIA",6,43.3,13,0.973,28,58.9,-8.55,-16.7,-0.364,234,239,198,31,"19",NA,169,0,94,NA
"Charlie Smyth","K","NO",8,136,11,0.705,118,144,-8.73,-11.9,-15.8,235,228,253,18,"3",25,170,0,52,2
"Jake Elliott","K","PHI",10,136,5.05,0.181,130,142,-9.43,0,-18.6,236,194,262,19,"3",31,191,1.72,13,9
"49ers","DST","SF",8,42.4,11.4,0,28,54.3,-9.52,-16.7,-5.01,237,240,222,32,"19",NA,170,0.7,77,NA
"MarShawn Lloyd","RB","GB",11,70.4,36.4,1.12,19.9,100,-9.53,-40.9,-6.53,238,306,229,65,"18",25,162,2.94,99,2
"Tyler Bass","K","BUF",7,136,16.9,0.366,107,146,-9.61,-23,-14.4,239,254,247,20,"3",29,191,1.44,84,6
"Trey Smack","K","GB",11,135,25.2,0.425,95.6,161,-9.98,-34.7,0.604,240,288,193,21,"3",23,190,2.56,99,0
"Omar Cooper Jr.","WR","NYJ",13,104,42.9,1.38,60.2,164,-10.2,-23.9,13.3,241,259,154,79,"12",22,161,8.44,88,0
"Chris Boswell","K","PIT",9,135,5.83,0.0396,128,140,-10.4,-2.08,-20.3,242,200,266,22,"3",35,175,1.54,26,12
"Evan McPherson","K","CIN",6,135,18,3.77,107,154,-10.4,-23.4,-6.24,243,257,228,23,"3",27,180,1.26,77,5
"Jordan James","RB","SF",8,69.2,31.4,2.25,42.4,119,-10.7,-18.4,12.5,244,243,156,66,"18",22,190,2.24,99,1
"Darius Slayton","WR","NYG",8,103,17.8,0.172,86.8,124,-11.6,2.68,-27.1,245,183,277,80,"12",29,185,2.8,62,7
"AJ Barner","TE","SEA",11,124,14.7,6.91,104,139,-11.7,-14.7,-22.6,246,234,270,26,"7",24,167,2.1,24,2
"Ryan Flournoy","WR","DAL",14,103,11.4,2.27,91.9,114,-11.8,7.76,-36.5,247,172,300,81,"12",26,196,2.5,44,2
"Kimani Vidal","RB","LAC",7,67,22.8,0.133,35.7,93.7,-12.9,-25.2,-12.8,248,264,242,67,"18",24,195,2.41,84,2
"Najee Harris","RB","NYG",8,66.9,4.24,0.162,63.9,69.7,-13,3.05,-36.8,249,182,301,68,"18",56,NA,2.78,69,5
"Joe Mixon","RB","FA",NA,66.7,NA,0.0356,NA,NA,-13.2,NA,NA,250,NA,NA,69,"18",30,NA,NA,91,9
"Michael Carter","RB","TEN",9,66.7,26.5,1.72,48.5,85,-13.2,-12.3,-21.5,251,229,269,70,"18",27,NA,3.22,97,5
"Nathaniel Dell","WR","HOU",8,100,67.7,2.11,26.5,175,-14,-57.6,24.7,252,348,138,82,"12",26,169,2.71,96,3
"Chad Ryland","K","ARI",14,131,4.4,2.33,126,137,-14.2,-4.62,-23.3,253,204,273,24,"4",26,170,0,61,3
"Chris Bell","WR","MIA",6,98.2,35,0.0115,61,127,-16.1,-23.1,-23.2,255,256,271,83,"12",22,177,7.76,83,0
"Xavier Legette","WR","CAR",5,98.2,5.65,0.386,92.2,105,-16.2,8.14,-45.2,256,170,317,84,"12",25,171,0.768,33,2
"Ja'Kobi Lane","WR","BAL",13,97.8,57.4,0.571,13,150,-16.5,-71.1,-0.305,258,384,196,85,"12",22,175,5.45,98,0
"Joey Slye","K","TEN",9,129,9.68,1.32,121,139,-16.5,-9.76,-20.9,257,220,268,25,"4",30,170,0,68,7
"Germie Bernard","WR","PIT",9,97.2,44.6,1.12,23.4,131,-17.1,-60.6,-19.6,259,360,264,86,"12",22,171,9.49,89,0
"Riley Patterson","K","MIA",6,127,13.4,1.72,105,137,-17.9,-25,-23.3,261,263,272,26,"4",26,170,0,16,5
"Troy Franklin","WR","DEN",10,96.1,45.6,1.23,51.2,148,-18.2,-32.9,-2.34,263,281,209,87,"12",23,213,1.48,90,2
"Oronde Gadsden","TE","LAC",7,117,23,0.208,81,136,-18.6,-38,-25,264,295,274,27,"7",23,166,2.42,73,1
"David Njoku","TE","LAC",7,117,33.6,0.482,79.4,166,-18.9,-39.5,5.24,265,300,175,28,"7",30,178,1.57,84,9
"Gunnar Helm","TE","TEN",9,117,14.5,6.37,100,136,-19.3,-18.5,-25.1,267,244,275,29,"8",23,191,2.71,43,1
"Caleb Douglas","WR","MIA",6,94.9,32,2.63,42.5,119,-19.5,-41.6,-32,268,308,288,88,"12",22,184,3.23,93,0
"Drew Stevens","K","WAS",7,126,17.1,4.7,102,140,-19.6,-27.9,-20.1,269,269,265,27,"4",22,170,0,97,0
"Isaac TeSlaa","WR","DET",6,92.2,16,0.578,73,114,-22.1,-11.1,-36.4,271,224,299,89,"12",24,204,0.782,43,1
"Dontayvion Wicks","WR","PHI",10,91.7,14.5,2.88,77,109,-22.7,-7.11,-41.4,272,213,309,90,"12",25,193,2.61,59,3
"Cam Ward","QB","TEN",9,296,38.6,1.6,264,354,-24,-24.2,-15.2,274,262,251,25,"5",24,149,3.28,62,1
"Ryan Fitzgerald","K","CAR",5,121,13.3,3.63,99.8,131,-24.3,-30.5,-29,275,274,282,28,"4",26,170,0,71,1
"Jacoby Brissett","QB","ARI",14,294,53.8,1.77,235,371,-25.6,-53.2,2.31,279,335,183,26,"5",33,172,3.22,84,10
"Mike Gesicki","TE","CIN",6,110,13.8,0.193,88.3,121,-25.7,-30.6,-40.3,280,275,306,30,"8",30,224,1.07,47,8
"Evan Engram","TE","DEN",10,110,14,9.3,90.7,123,-25.9,-28.2,-37.7,281,271,303,31,"8",31,204,1.99,37,9
"Aaron Rodgers","QB","PIT",9,292,44.3,6.07,254,364,-27.4,-33.5,-5.29,286,285,224,27,"5",42,178,5.59,66,21
"Matt Gay","K","LVR",13,117,16.7,3.28,89.7,129,-27.9,-40.6,-30.7,287,305,285,29,"5",32,169,0,74,7
"Andre Szmyt","K","CLE",11,114,15.6,6.17,89.8,127,-31.2,-40.5,-33.2,298,304,292,30,"5",27,170,0,35,3
"Daniel Jones","QB","IND",13,286,87.8,2.95,141,350,-33.4,-146,-19.3,305,466,263,28,"5",29,145,3.68,99,7
"Colby Parkinson","TE","LAR",11,101,31.8,3.37,74.6,147,-35.2,-44.3,-13.7,310,311,246,32,"9",27,193,2.18,82,6
"Geno Smith","QB","NYJ",13,283,20,55.8,262,314,-36.4,-25.9,-54.9,313,267,335,29,"6",35,171,4.5,6,13
"Jason Sanders","K","NYJ",13,108,36,0.253,75.7,140,-37.4,-54.6,-20.5,315,342,267,31,"5",30,170,0,90,8
"Ben Sauls","K","NYG",8,108,22.6,19.2,82.9,127,-37.6,-47.4,-32.7,316,318,289,32,"6",25,NA,NA,87,1
"Mason Taylor","TE","NYJ",13,97.5,23.2,3.56,65.7,125,-38.6,-53.2,-36.2,318,336,298,33,"9",22,200,1.01,71,1
"Terrance Ferguson","TE","LAR",11,93.9,38.1,1.01,35.6,132,-42.1,-83.3,-28.7,325,413,281,34,"9",23,167,1.51,88,1
"Jonnu Smith","TE","FA",NA,92.9,NA,2.23,NA,NA,-43.1,NA,NA,329,NA,NA,35,"9",30,NA,NA,99,9
"Darren Waller","TE","CAR",5,90.7,35.5,6.37,56.5,127,-45.4,-62.4,-33.9,334,367,295,36,"10",33,170,0.72,96,11
"Michael Mayer","TE","LVR",13,84.3,12.3,1.94,74.5,102,-51.7,-44.5,-59,349,312,342,37,"10",25,212,0.864,63,3
"Dawson Knox","TE","BUF",7,82.4,10.5,2.23,70,93.5,-53.7,-48.9,-67.6,353,325,346,38,"10",29,170,0.936,57,7
"Theo Johnson","TE","NYG",8,80.1,22.6,5.7,63.8,108,-55.9,-55.1,-53.5,361,343,334,39,"10",25,209,0.588,67,2
"Tyler Higbee","TE","LAR",11,74.4,28.3,1.81,38.3,112,-61.6,-80.7,-49.4,379,406,324,40,"10",33,170,0.612,90,10
"Cole Kmet","TE","CHI",10,72.6,15.4,1.12,56.2,89.9,-63.4,-62.7,-71.2,383,368,353,41,"10",27,224,1.1,53,6
"Darnell Washington","TE","PIT",9,71.5,11.1,1.46,56.1,83.2,-64.5,-62.8,-77.9,385,369,366,42,"11",25,237,1.1,51,3
"Jake Tonges","TE","SF",8,70,44.1,2.13,28.7,127,-66,-90.3,-33.7,387,429,293,43,"11",27,196,1.67,94,4
"Marlin Klein","TE","HOU",8,67.9,17.3,3.08,55.8,79.6,-68.1,-63.2,-81.5,393,372,370,44,"11",23,NA,5.76,86,0
"Daniel Bellinger","TE","TEN",9,64.8,11,0.566,57.4,76.7,-71.2,-61.6,-84.4,399,364,373,45,"11",25,NA,2.14,69,4
"Noah Fant","TE","NO",8,64.3,21.7,1.97,36.4,93,-71.8,-82.5,-68.1,400,410,347,46,"11",28,170,0,78,7
"Tommy Tremble","TE","CAR",5,62.3,23.6,0.794,42.3,94.7,-73.8,-76.6,-66.5,403,399,345,47,"11",26,170,0.708,92,5
"Eli Stowers","TE","PHI",10,61.5,47.2,2.08,20.3,120,-74.5,-98.7,-40.8,405,448,307,48,"11",23,148,5.53,98,0
"Elijah Arroyo","TE","SEA",11,59.4,22.2,0.54,34.4,86.7,-76.6,-84.5,-74.4,412,418,363,49,"11",23,219,0.984,80,1
"Noah Gray","TE","KC",5,58.9,15.6,0.00758,36.2,74.8,-77.2,-82.7,-86.3,413,412,380,50,"11",27,170,0,65,5
"Fernando Mendoza","QB","LVR",13,228,31.9,29.6,186,272,-92.2,-102,-97.2,464,452,397,30,"7",22,148,25,72,0
"Tua Tagovailoa","QB","ATL",11,198,70.7,24,129,274,-122,-159,-95.4,553,467,393,31,"8",28,165,4.55,91,6
"Deshaun Watson","QB","CLE",11,174,77.1,53.6,81.8,274,-146,-206,-95.1,571,468,392,32,"9",30,181,3.18,97,9
