"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Antonio Brown","WR","PIT",8,369,15.6,32.9,351,389,254,270,243,1,1,1,1,"1",38,1.54,56.3,1,6
"Julio Jones","WR","ATL",11,336,25.1,19.6,283,360,221,202,214,2,3,3,2,"2",37,4.7,52.6,35,5
"Odell Beckham","WR","NYG",8,316,21.5,23,294,362,202,213,216,3,2,2,3,"3",33,3.49,53.8,15,2
"David Johnson","RB","ARI",9,281,18.1,10.6,252,301,182,183,176,4,5,5,1,"1",34,6.57,45.9,17,1
"DeAndre Hopkins","WR","HOU",9,293,24.8,18.1,267,344,179,187,198,5,4,4,4,"4",34,9.73,45.1,42,3
"Todd Gurley","RB","LA",NA,270,20.8,15,243,296,171,174,171,6,6,6,2,"2",31,4.29,49.7,29,1
"Keenan Allen","WR","SD",11,275,18.8,8.44,254,303,161,173,157,7,7,7,5,"4",34,26.9,27.7,19,3
"Devonta Freeman","RB","ATL",11,255,15,1.08,232,274,156,163,149,8,12,12,3,"2",34,16.3,34.3,28,2
"Lamar Miller","RB","HOU",9,254,14.8,5.54,234,276,155,165,151,9,9,10,4,"2",35,12.6,39.3,9,4
"Dez Bryant","WR","DAL",7,266,20.3,3.52,245,302,152,164,156,10,11,9,6,"5",37,16.2,40.5,38,6
"LeVeon Bell","RB","PIT",8,248,19.5,1.19,221,276,149,152,151,11,19,11,5,"2",33,14.3,40.7,70,3
"Allen Robinson","WR","JAC",5,263,21.7,0.419,229,295,149,148,149,12,22,13,7,"5",32,16.1,37.9,28,2
"Adrian Peterson","RB","MIN",6,247,7.29,5.4,238,260,148,169,135,14,8,21,6,"3",41,6.57,47.4,1,9
"A.J. Green","WR","CIN",9,263,20.5,1.07,221,276,148,140,130,13,26,25,8,"5",37,11.2,43.6,11,5
"Jordy Nelson","WR","GB",4,261,18.1,1.59,246,293,147,165,147,16,10,14,9,"5",41,20.2,32.8,24,8
"Rob Gronkowski","TE","NE",9,257,17.7,26,239,294,147,141,156,15,25,8,1,"1",37,11.1,44.4,14,6
"Brandon Marshall","WR","NYJ",11,260,14.3,1.05,240,279,146,159,133,17,15,24,10,"5",42,21.3,32,4,10
"Alshon Jeffery","WR","CHI",9,259,14.5,4.46,241,283,145,161,137,18,14,18,11,"5",36,27.6,29.9,6,4
"Ezekiel Elliott","RB","DAL",7,242,15.7,3.33,222,269,143,153,144,19,17,15,7,"3",30,8.08,47.5,13,0
"Jarvis Landry","WR","MIA",8,254,13.8,3.03,242,280,140,161,135,20,13,20,12,"5",33,44.8,15.7,10,2
"Mark Ingram","RB","NO",5,239,12.2,7.94,220,259,139,151,134,21,20,22,8,"3",36,22.8,29,4,5
"Mike Evans","WR","TB",6,251,15.2,0.36,238,285,137,157,139,22,16,17,13,"5",32,24.7,29.7,9,2
"Amari Cooper","WR","OAK",10,251,18.3,0.802,233,287,137,152,141,23,18,16,14,"5",32,27.7,28.3,30,1
"Brandin Cooks","WR","NO",5,250,17.7,9.22,231,279,136,150,134,24,21,23,15,"6",32,32,25.7,22,2
"LeSean McCoy","RB","BUF",10,231,13.9,5.79,208,249,131,139,124,25,27,27,9,"4",38,25.3,26.8,10,7
"T.Y. Hilton","WR","IND",10,241,13.9,1.97,224,264,127,143,118,26,23,30,16,"6",36,36.6,21.5,21,4
"Jamaal Charles","RB","KC",5,225,20.5,11.8,200,262,126,131,137,27,33,19,10,"5",39,21.9,31.1,59,8
"Sammy Watkins","WR","BUF",10,239,12.6,1.05,222,257,125,141,112,28,24,35,17,"6",33,32.9,25.3,13,2
"Demaryius Thomas","WR","DEN",11,238,15.2,0.842,215,258,124,135,112,29,30,34,18,"6",38,36.1,24.7,18,6
"Randall Cobb","WR","GB",4,237,16.6,0.825,216,269,123,135,123,30,29,28,19,"6",35,44,15.9,17,5
"Eric Decker","WR","NYJ",11,236,16.6,0.833,211,261,122,130,116,31,34,31,20,"6",39,52.6,13,12,6
"Golden Tate","WR","DET",10,235,13.5,6.38,213,258,121,132,113,33,31,33,21,"7",37,61.5,10.7,20,6
"Jordan Reed","TE","WAS",9,232,7.68,22.5,221,242,121,122,104,32,36,39,2,"2",36,39.4,19.3,2,3
"Julian Edelman","WR","NE",9,229,19.1,0.681,195,248,115,114,102,34,45,40,22,"7",40,47.5,16.2,39,7
"Eddie Lacy","RB","GB",4,213,16.2,0.468,196,244,114,127,119,36,35,29,11,"5",35,20.4,29.6,20,3
"Jeremy Maclin","WR","KC",5,228,11.7,2.63,203,236,114,122,90.4,35,38,49,23,"7",38,50.8,12.5,1,7
"Doug Martin","RB","TB",6,213,9.03,3.87,200,222,113,131,96.6,37,32,44,12,"5",37,23.8,29.6,3,4
