"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Bijan Robinson","RB","ATL",5,335,19.8,15,311,366,248,262,240,1,1,1,1,"1",24,2.82,59.7,6,2
"Ja'Marr Chase","WR","CIN",10,356,23.5,41.6,330,390,241,253,221,2,4,2,1,"1",26,2.2,62.5,7,4
"Saquon Barkley","RB","PHI",9,320,14.9,1.61,302,346,233,253,220,3,3,3,2,"1",29,3.46,59.5,1,7
"Jahmyr Gibbs","RB","DET",8,318,10.2,23,303,332,231,255,206,4,2,5,3,"2",24,4.58,56.7,1,2
"Christian McCaffrey","RB","SF",14,295,26.3,2.76,267,343,208,219,216,5,6,4,4,"2",30,9.4,56.6,36,8
"Devon Achane","RB","MIA",12,293,16.9,16.5,267,315,206,219,189,6,5,7,5,"3",24,18.2,38.7,10,2
"CeeDee Lamb","WR","DAL",10,314,14.9,0.537,290,336,199,214,167,7,7,13,2,"1",27,7.68,54.2,1,5
"Justin Jefferson","WR","MIN",6,314,25.7,11.3,280,366,199,204,196,8,8,6,3,"1",27,7.02,54.3,19,5
"Ashton Jeanty","RB","LVR",8,276,25.5,1.49,229,304,189,181,178,9,18,9,6,"3",22,11.5,48.9,32,0
"Derrick Henry","RB","BAL",7,275,18.5,1.95,245,302,188,197,175,11,13,10,7,"3",32,9.38,49,13,9
"Malik Nabers","WR","NYG",14,302,28.5,2.51,275,357,188,199,188,10,10,8,4,"1",22,13.7,45.8,35,1
"Josh Jacobs","RB","GB",5,273,17.8,4.29,247,302,186,199,175,12,9,11,8,"3",28,15.4,41.4,7,6
"Puka Nacua","WR","LAR",8,300,22.3,1.27,274,336,185,197,167,13,12,14,5,"1",25,16.2,42.4,16,2
"Amon-Ra St. Brown","WR","DET",8,299,18.6,13.6,275,325,184,198,155,14,11,18,6,"2",26,14.2,47.3,5,4
"Chase Brown","RB","CIN",10,268,24,0.147,226,299,181,178,173,15,20,12,9,"3",26,22.5,38,29,2
"Bucky Irving","RB","TB",9,268,20.5,5.36,236,293,181,188,166,16,15,15,10,"3",23,20,37.1,19,1
"Kyren Williams","RB","LAR",8,263,17.5,2.02,238,281,176,190,154,17,14,19,11,"3",25,22,33.9,12,3
"Jonathan Taylor","RB","IND",11,261,20,10.3,234,285,174,186,158,18,17,16,12,"4",27,17,41.6,14,5
"Nico Collins","WR","HOU",6,285,15.3,1.04,264,308,170,187,139,19,16,25,7,"2",27,14.9,45.4,2,4
"Brian Thomas Jr.","WR","JAC",8,284,23.6,9.76,246,318,169,170,148,20,23,22,8,"2",23,18,39.6,20,1
"Alvin Kamara","RB","NO",11,251,19.9,5.48,227,279,164,179,152,21,19,20,13,"4",30,39.7,24.1,23,8
"Drake London","WR","ATL",5,274,24.9,11.7,251,327,159,174,157,22,21,17,9,"3",24,23.1,37.8,30,3
"James Cook","RB","BUF",7,245,23.1,9.78,218,271,158,170,144,23,22,24,14,"5",26,28.7,27.8,28,3
"Breece Hall","RB","NYJ",9,235,22.5,2.03,215,278,148,167,152,24,25,21,15,"5",25,41.8,19.5,33,3
"Tyreek Hill","WR","MIA",12,262,12.7,1.33,245,286,148,168,117,25,24,37,10,"3",32,36.4,28.1,12,9
"Chuba Hubbard","RB","CAR",14,233,21.9,1.95,201,264,146,153,137,27,29,26,16,"5",27,43.9,21.2,22,4
"A.J. Brown","WR","PHI",9,261,19.6,5.48,232,285,146,156,116,26,27,38,11,"3",29,23.1,36.2,4,6
"James Conner","RB","ARI",8,231,20.1,1.66,198,256,144,150,130,28,33,30,17,"5",31,44.5,21.8,17,8
"Omarion Hampton","RB","LAC",12,230,29.6,4.03,172,259,143,124,132,29,51,29,18,"5",23,36.5,28.4,58,0
"Ladd McConkey","WR","LAC",12,256,21,3.41,234,293,141,158,124,30,26,31,12,"3",24,30.2,29.6,14,1
"Kenneth Walker III","RB","SEA",8,226,20.1,6.42,186,247,139,138,121,31,41,34,19,"5",25,40.2,22.3,20,3
"Tee Higgins","WR","CIN",10,252,23.4,0.509,210,277,138,134,108,32,43,42,13,"3",27,32.4,27.6,27,5
"Jaxon Smith-Njigba","WR","SEA",8,252,21.8,4.03,228,291,137,151,122,33,30,33,14,"4",24,40.2,24.1,26,2
"Davante Adams","WR","LAR",8,248,22.4,0.0622,222,280,133,145,111,34,36,39,15,"4",33,41.4,23.6,34,11
"Terry McLaurin","WR","WAS",12,248,18,1.73,225,278,133,148,109,35,34,41,16,"4",30,39.7,22.5,24,6
"TreVeyon Henderson","RB","NE",14,219,28.2,6.94,188,272,132,140,146,36,37,23,20,"6",23,47.6,22.6,54,0
"Mike Evans","WR","TB",9,246,16.3,3.74,230,274,131,154,105,38,28,45,17,"4",32,38.6,23.8,8,11
"Brock Bowers","TE","LVR",8,258,10.2,6.38,245,271,131,146,119,37,35,35,1,"1",23,27.9,32.9,2,1
