"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Tarvaris Jackson","QB","FA",NA,19.6,NA,4.62,NA,NA,0,NA,NA,1,NA,NA,1,"1",43,NA,NA,NA,8
"Mike Goodson","RB","FA",NA,30.3,NA,14.9,NA,NA,0,NA,NA,1,NA,NA,1,"1",39,NA,NA,NA,5
"Josh Gordon","WR","CLE",4,55.7,51,22.1,2.03,93.1,0,0,0,1,3,1,1,"1",35,NA,NA,99,2
"Tony Gonzalez","TE","FA",NA,50,NA,24.8,NA,NA,0,NA,NA,1,NA,NA,1,"1",50,NA,NA,NA,17
"AJ McCarron","QB","CIN",4,14.9,21.1,7.63,0.406,29.4,-4.62,0,0,2,3,1,2,"1",35,NA,NA,99,0
"Jimmy Garoppolo","QB","NE",10,7.31,8.78,6.23,0.855,12.9,-12.3,0.449,-16.5,3,2,4,3,"1",34,NA,NA,1,0
"Tyler Gaffney","RB","NE",10,15.4,21.8,7.65,0.42,30.4,-14.9,0,0,4,3,1,2,"1",35,NA,NA,NA,0
"Logan Thomas","QB","ARI",4,1.08,NA,0.68,NA,NA,-18.5,NA,NA,5,NA,NA,4,"1",35,NA,NA,NA,0
"Josh Johnson","QB","SF",8,0.4,NA,5.55e-17,NA,NA,-19.2,NA,NA,6,NA,NA,5,"1",40,NA,NA,NA,6
"Matt Barkley","QB","PHI",7,0.4,NA,0,NA,NA,-19.2,NA,NA,6,NA,NA,6,"1",35,NA,NA,NA,1
"Josh Boyce","WR","NE",10,33.6,NA,32.7,NA,NA,-22.1,NA,NA,7,NA,NA,2,"2",35,NA,NA,NA,1
"Zurlon Tipton","RB","IND",10,7.8,NA,6.2,NA,NA,-22.5,NA,NA,8,NA,NA,3,"1",36,NA,NA,NA,0
"Josh Hill","TE","NO",6,25.2,10.2,4.27,17.5,31.5,-24.8,0,0,9,3,1,2,"1",36,NA,NA,50,1
"Chase Reynolds","RB","STL",4,1.6,NA,0.5,NA,NA,-28.7,NA,NA,10,NA,NA,4,"1",38,NA,NA,NA,2
"Bear Pascoe","TE","ATL",9,20.9,1.52,6.17,19.7,21.8,-29.1,2.27,-9.68,11,1,3,3,"2",40,NA,NA,1,5
"Branden Oliver","RB","SD",10,1.1,NA,1,NA,NA,-29.2,NA,NA,12,NA,NA,5,"1",35,NA,NA,NA,0
"Rex Burkhead","RB","CIN",4,0.1,NA,0,NA,NA,-30.2,NA,NA,13,NA,NA,6,"1",36,NA,NA,NA,1
"Demetrius Harris","TE","KC",6,14.7,19.4,6.21,0.474,27.1,-35.3,-17,-4.4,14,5,2,4,"2",34,NA,NA,99,1
"Jack Doyle","TE","IND",10,8.5,NA,5.6,NA,NA,-41.5,NA,NA,15,NA,NA,5,"3",36,NA,NA,NA,1
"Gator Hoskins","TE","FA",NA,2.9,NA,0,NA,NA,-47.1,NA,NA,16,NA,NA,6,"3",34,NA,NA,NA,0
"Justin Blackmon","WR","JAC",11,0.903,1.27,0.703,0.0245,1.78,-54.8,-2.01,-91.3,17,4,5,3,"2",36,NA,NA,1,2
"Russell Shepard","WR","TB",7,0.2,NA,0,NA,NA,-55.5,NA,NA,18,NA,NA,4,"2",35,NA,NA,NA,1
