"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Kyle Orton","QB","FA",NA,35.7,31.5,0,1.28,73.3,0,0,0,1,1,3,1,"1",43,160,0.75,NA,10
"DeAnthony Thomas","RB","KC",9,83.9,1.8,33.4,82,85.1,0,0,0,1,1,3,1,"1",33,204,0.667,58,1
"Mike Williams","WR","FA",NA,75.8,0,28.7,75.8,75.8,0,0,0,1,1,3,1,"1",39,160,0.25,8,5
"Cooper Helfet","TE","SEA",9,6.73,4.96,4.83,2.69,13.6,0,0,0,1,1,3,1,"1",37,160,0.25,99,4
"Billy Cundiff","K","FA",NA,26,29.5,0,0.582,57.6,0,0,0,1,1,3,1,"1",46,160,1,NA,13
"Arthur Lynch","TE","NYJ",5,1.9,2.97,0,0.0406,4.1,-4.83,-2.65,-9.54,2,2,7,2,"1",36,170,0,1,1
"Dri Archer","WR","PIT",11,47.1,NA,10.6,NA,NA,-28.7,NA,NA,3,NA,NA,2,"2",34,177,0.667,54,1
"Ray Rice","RB","FA",NA,50.5,34.6,9.25,2.62,91,-33.4,-79.4,5.91,4,21,1,2,"2",39,164,1.25,92,7
"Wes Welker","WR","FA",NA,36.5,39.7,0.48,0.885,76.6,-39.3,-74.9,0.768,5,16,2,3,"2",45,165,0.75,92,11
"Mike Williams","WR",NA,NA,36,31.7,10.1,1.29,73.8,-39.8,-74.5,-1.96,6,14,5,4,"3",42,170,0,85,10
"Knowshon Moreno","RB","FA",NA,41.3,36.3,15.9,1.48,84.7,-42.7,-80.5,-0.483,7,22,4,3,"3",39,164,0.5,99,6
"Donnie Avery","WR","FA",NA,25.9,22.8,0.976,0.927,53.1,-49.9,-74.9,-22.7,8,15,9,5,"3",42,160,0,77,7
"Brandon Lloyd","WR","FA",NA,24.9,0,2.7,24.9,24.9,-50.9,-50.9,-50.9,9,3,14,6,"4",45,160,0.333,8,12
"Dane Sanzenbacher","WR","FA",NA,22.2,4.35e-15,3.4,22.2,22.2,-53.6,-53.6,-53.6,10,4,15,7,"4",37,151,1,31,4
"Ifeanyi Momah","WR","ARI",9,18.8,NA,0.108,NA,NA,-57,NA,NA,11,NA,NA,8,"4",36,160,0.5,NA,2
"B.J. Daniels","WR","SEA",9,18.7,34.5,2.49,0.0644,58.8,-57.1,-75.7,-17,12,20,8,9,"5",36,125,0,99,2
"Pierre Thomas","RB","FA",NA,25.4,37.5,1.7,0.103,77.3,-58.5,-81.9,-7.85,13,25,6,4,"4",41,168,0.333,75,8
"Santana Moss","WR","FA",NA,16.2,4.35e-15,1.05,16.2,16.2,-59.6,-59.6,-59.6,14,6,16,10,"5",47,160,0.5,31,14
"Peyton Hillis","RB","FA",NA,23.7,4.35e-15,1.4,23.7,23.7,-60.2,-58.3,-61.4,15,5,18,5,"5",40,160,0.333,33,7
"Jerrel Jernigan","WR","FA",NA,15.1,13.3,0.296,0.543,31.1,-60.7,-75.3,-44.7,16,17,12,11,"5",37,151,0.333,69,4
"Josh Bellamy","WR","CHI",7,14.9,2.52e-15,2.46,14.8,14.8,-61,-61,-61,17,8,17,12,"5",37,151,0,1,3
"Joe McKnight","RB","FA",NA,22.3,4.35e-15,0.46,22.3,22.3,-61.6,-59.7,-62.8,18,7,20,6,"5",38,151,0.5,33,5
"Steven Jackson","RB","FA",NA,21.8,19.2,2.23,0.782,44.8,-62.1,-81.2,-40.3,19,23,11,7,"6",42,145,0.25,67,11
"Santonio Holmes","WR","FA",NA,12.4,10.9,2.09,0.444,25.4,-63.4,-75.4,-50.4,20,18,13,13,"6",42,151,0.333,62,9
"Ben Tate","RB","FA",NA,19.6,29,5.11,0.0797,59.6,-64.3,-81.9,-25.5,21,26,10,8,"7",37,160,0.25,83,5
"Terrelle Pryor","WR","CLE",11,10.3,0,3.46,10.3,10.2,-65.5,-65.5,-65.6,22,9,21,14,"6",37,151,1,8,4
"Robert Meachem","WR","FA",NA,6.84,6.02,1.68,0.245,14,-69,-75.6,-61.8,23,19,19,15,"6",41,151,0,46,8
"Jonathan Dwyer","RB","FA",NA,14.5,0,0.4,14.5,14.5,-69.4,-67.5,-70.6,24,10,23,9,"7",36,160,0.333,1,5
"Ronnie Brown","RB","FA",NA,14.1,0,2.4,14.1,14.1,-69.8,-67.9,-71,25,11,24,10,"8",44,160,0.5,1,10
"T.J. Jones","WR","DET",9,5.16,NA,0,NA,NA,-70.6,NA,NA,26,NA,NA,16,"6",33,NA,1,NA,1
"Alfonso Smith","RB","FA",NA,11.7,0,2.5,11.7,11.7,-72.2,-70.3,-73.4,27,12,25,11,"9",39,151,0,1,5
"Marcus Thigpen","RB","BUF",8,9.2,0,0.658,9.2,9.2,-74.7,-72.8,-75.9,28,13,26,12,"10",40,160,0,1,6
"Jackie Battle","RB","FA",NA,8.55,7.53,1.02,0.306,17.5,-75.4,-81.7,-67.6,29,24,22,13,"10",42,151,0.333,50,8
"Malcolm Johnson","RB","CLE",11,7.53,NA,0,NA,NA,-76.4,NA,NA,30,NA,NA,14,"10",33,132,0.25,NA,0
