"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jonathan Taylor","RB","IND",14,341,33.3,7.04,297,390,252,237,268,1,1,2,1,"1",27,1.24,63.9,49,2
"Christian McCaffrey","RB","CAR",13,334,45.2,18,277,413,245,217,291,2,3,1,2,"1",30,3.68,61.4,80,5
"Cooper Kupp","WR","LAR",7,360,35.8,44.9,315,421,228,215,244,3,4,3,1,"1",33,5.53,53.4,44,5
"Austin Ekeler","RB","LAC",8,316,28.4,23.8,279,356,227,219,234,4,2,4,3,"2",NA,4.67,57.6,32,NA
"Derrick Henry","RB","TEN",6,292,30.5,8.81,255,341,203,195,219,5,5,5,4,"3",32,4.89,55.7,55,6
"Najee Harris","RB","PIT",9,284,32.3,2.54,230,325,194,170,203,6,14,6,5,"3",56,8.83,49.2,62,1
"Dalvin Cook","RB","MIN",7,281,30.3,2.43,239,322,192,179,200,7,11,7,6,"3",30,6.96,56.1,45,5
"Alvin Kamara","RB","NO",14,279,16.1,3.95,255,301,189,195,179,8,7,10,7,"3",30,15.5,44.7,3,5
"Leonard Fournette","RB","TB",11,275,15.6,0.0535,255,300,185,195,178,9,6,12,8,"3",30,22.8,38.7,1,5
"Joe Mixon","RB","CIN",10,275,18.2,7.4,249,301,185,189,179,10,9,11,9,"3",29,11.2,49.4,7,5
"Justin Jefferson","WR","MIN",7,315,23.7,10.6,287,352,183,187,175,11,10,13,2,"1",27,6.57,52.2,7,2
"Aaron Jones","RB","GB",14,267,28.9,5.36,236,309,178,176,187,12,13,8,10,"4",31,18.5,41.7,43,5
"Josh Allen","QB","BUF",7,484,18.5,27.9,458,508,177,194,171,13,8,17,1,"1",30,18.1,40.1,1,4
"Saquon Barkley","RB","NYG",9,262,26.9,0.204,229,296,172,169,174,14,16,16,11,"4",29,19.3,45.1,39,4
"D'Andre Swift","RB","DET",6,262,32.4,13.8,213,309,172,153,187,16,21,9,12,"4",27,16.7,41.1,58,2
"Davante Adams","WR","LVR",6,304,35.3,3.46,255,352,172,154,175,15,19,14,3,"1",33,14.3,45.7,45,8
"Ja'Marr Chase","WR","CIN",10,301,22,10.9,277,338,169,177,161,17,12,20,4,"2",26,9.78,48.4,3,1
"Javonte Williams","RB","DEN",9,248,20.6,3.51,230,289,158,170,167,18,15,18,13,"4",26,22.8,36.2,12,1
"Stefon Diggs","WR","BUF",7,290,23,12.2,261,317,158,161,140,19,18,25,5,"2",32,14.6,42.3,8,7
"James Conner","RB","ARI",13,244,21.9,5.64,211,278,155,151,156,20,23,21,14,"5",31,30.5,32.5,14,5
"Patrick Mahomes","QB","KC",8,456,17.2,17.2,432,478,149,168,141,21,17,24,2,"1",30,31.8,29.5,6,5
"Nick Chubb","RB","CLE",9,239,38.4,1.74,187,288,149,127,166,22,34,19,15,"5",30,15.7,43.8,70,4
"David Montgomery","RB","CHI",14,237,21.7,0.161,214,275,148,154,153,24,20,22,16,"5",29,37.6,21.8,25,3
"Travis Kelce","TE","KC",8,281,37.7,21.7,228,331,148,132,175,23,31,15,1,"1",36,16.3,43,88,9
"Ezekiel Elliott","RB","DAL",9,237,26.3,13.9,196,271,147,136,149,25,28,23,17,"5",30,28.7,32.7,35,6
"Deebo Samuel","WR","SF",9,278,27.2,6.39,234,309,146,133,133,26,30,30,6,"2",56,20.6,34.8,39,3
